,title,funder,investigator,abstract,funding_amount_usd,start_year,end_year
0,High Performance Energetic Propellant Ingredient Process Research and Development,United States Department of the Navy,to Pascal Dube,"CL-20 is the most powerful conventional explosive known, but its high cost has limited its adoption in a range of potential applications. Par of the challenge in making these materials is the complexity of the reaction used to prepare the polycyclic cage. The complexity of this reaction makes it difficult to have insight into the reaction and to improve it. Additionally, several of the intermediates and reaction byproducts are challenging to analyze with typical analytical techniques. In the research program proposed, we would apply cutting edge analytical techniques in combination with flow chemistry techniques to collect detailed data about the relevant chemical reactions, while also enabling access to process conditions that would not be accessible using batch conditions.less","1,981,016",2017,2021
0,Expedited Transition of Propulsion Modeling & Simulation Capability,Missile Defense Agency,to Dan Jones,"A multivariate interface/data structure for insensitive munitions (IM) applications, technology and hazards/effects analysis can facilitate transition of propulsion modeling and simulation (M&S) capability. Expected benefits are reduced testing and overall acquisition cost and increased safety margins. Use of M&S can provide knowledge points not achievable with limited pass-fail testing. During Phase I, the M&S toolset for system mitigation of IM hazards was assessed to be ready for expedited transition. The Phase II effort will study bullet/fragment impact protection during transport, as well as mitigation of thermal effects on a propulsion stack from jet fuel fires in the launching system. The intended products are additions to the multivariate knowledge base including mitigation technology and the separately funded transition of a test-validated propulsion mitigation M&S analysis toolset in order to reduce overall cost of a specific missile acquisition program.less","1,169,100",2008,2010
0,"Low Loss, High Average Power PM WDMs for Raman Fiber Lasers",United States Department of the Air Force,to Jian Liu,"ABSTRACT: We propose a new fiber WDM fabrication method for single mode high power fiber laser. Our new approach will enable kW operation for both single mode fiber WDM and PCF WDM. At the end of Phase I, a proof of concept experiment will be demonstrated. In phase II, we will target at delivery of a reliable prototypes for both step index fiber WDM and PCF WDM. BENEFIT: The WDM is a key component for high power fiber laser. It can be used in many applications, such as antireflection windows, space, aircraft, and satellite applications of LADAR systems, countermeasures, and communications. PolarOnyx will develop a series of products to meet various requirements for military deployments. Other commercial applications include Material processing. This includes (1) all types of metal processing such as welding, cutting, annealing, and drilling; (2)semiconductor and microelectronics manufacturing such as lithography, inspection, control, defect analysis and repair, and via drilling; (3) marking of all materials including plastic, metals, and silicon; (4) other materials processing such as rapid prototyping, desk top manufacturing, micromachining, photofinishing, embossed holograms, and grating manufacturing. Medical equipment and biomedical instrumentation. The high power amplifier/laser can be applied to ophthalmology, refractive surgery, photocoagulation, general surgery, therapeutic, imaging, and cosmetic applications. Biomedical instruments include those involved in cells or proteins, cytometry, and DNA sequencing; laser Raman spectroscopy, spectrofluorimetry, and ablation; and laser based microscopes.less","149,996",2014,2014
0,Lasers Based on Gas or Liquid Filled Hollow-Core Photonic Crystal Fibers,United States Department of the Air Force,to Vasudevan Nampoothiri,"We propose a compact, monolithic, power scalable, hollow core fiber-gas laser emitting in the atmospheric transmission region in the mid-IR. The proposed optically pumped fiber-gas laser system is efficient, has a small footprint as well has a broad spectral coverage in the mid-IR. Due to the unique approach employed, the proposed technology allows generation of mid-IR output with varying pulse repetition rates and energies, as well as can produce CW outputs. Further, the technology can be refined to generate diffraction-limited output in the mid-IR region.less","149,995",2018,2019
0,Development of powder bed printing (3DP) for rapid and flexible fabrication of energetic material payloads and munitions,Defense Threat Reduction Agency,to Susana Carranza,"This program will demonstrate how additive manufacturing technologies can be used with reactive and high energy materials to create rapid and flexible fabrication of payload and munitions. Our primary approach to this problem will be to use powder bed binder printing techniques to print reactive structures. The anticipated feedstock will consist of composite particles containing all reactant species. Each printed particle can act as its own chemical cell, negating the need for particle-to-particle diffusion of reactants. Because structural integrity is a goal of this proposed work, an infiltrate will be utilized to fill voids and reinforce the printed structure. The initial focus will be on melt infiltrating the structure with solders or brazing alloys. Their low melting temperatures allow infiltration without diminishing the stored chemical energy in the printed reactive material. Reactive payloads formed by additive manufacturing can improve the payload effect/mass ratio by replacing structural elements in the munition that would otherwise be inert. In the future, we anticipate additive manufacturing may be able to create new, highly-controllable and tailored payload effects that would not be possible with traditional munitions. The program will focus on demonstrating the fundamental building blocks and techniques that can facilitate this development process.less","149,992",2016,2017
0,Portable Cell Maintenance System for Rapid Toxicity Monitoring,United States Department of the Army,to Peng Zhou,"The health and safety of civilians and deployed troops critically depends on the ability to detect a broad range of toxic contaminants in drinking water. There is also a generally perceived need for an accurate, reliable, and cost-effective measurement system for assuring the safety of drinking water, i.e., a simple test to determine ""lack of contamination"" in military, civilian, and industrial settings. This proposal addresses these important needs by demonstrating the feasibility of a system comprising a novel and innovative, low-cost, small-size, microfluidic chip-based cell maintenance cartridge (CMC), and a portable cell maintenance system (CMS) capable of housing multiple CMCs. The proposed CMC/CMS system will be capable of optimally maintaining multiple vertebrate cell types during transport, storage, and use while supporting both optical and electrical assay formats. Specifically, the proposed project will establish on-chip assays for cell viability, vitality, and function in order to assess the ability of the CMC to optimally maintain multiple cell types for a period of three days in Phase I and significantly longer in Phase II. Additionally, the CMC/CMS system will enable the development of powerful cellular assays based on both primary cells and next-generation engineered cells designed for sensing applications.less","100,000",2004,2005
0,Low Expansion Metallic Nanolaminate Replicated Mirrors with CTE Matched High Conductivity Graphite Fiber Reinforced Magnesium Mirror Substrate Structu,Missile Defense Agency,to James Cornie,"Magnetron sputtering of ""Invar-like"" nanolaminates onto a pre-finished/figured mandrel is proposed to produce strong, stiff, damage tolerant, low CTE replicas. The structural substrate will be a high performance discontinuous graphite fiber reinforced Mg AZ31 metal matrix composite manufactured by pressure infiltration casting. MetGraf Mg composites have the following attractive attributes for structural substrates: CTE precisely matched to the Invar-like nanolaminate replica. High specific stiffness High thermal conductivity High thermal stability Low manufacturing cost This combination will result in a robust stiff, lightweight (< 8 kg/m2 areal density) meter class mirror. Lawrence Livermore National Laboratory (LLNL) has developed a sputter deposition process, which has been applied to the production of high quality mirror replicas. LLNL will produce ~400 ìm thick Invar-like 250 mm convex and flat nanolaminate replicas for this project with expected expansion coefficients of 2 to 4 ppm/K. MMCC will upgrade its graphite fiber preform to produce highly uniform materials that, after pressure infiltration, results in exact CTE matches to the nanolaminate. MMCC will investigate both resin and solder base approaches to attachment of pre figured and finished nanolaminate to figured MetGraf Mg substructures. 250 mm convex and flat mirrors will be demonstrated.less","100,000",2004,2005
0,Expedited Transition of Propulsion Modeling & Simulation Capability,Missile Defense Agency,to Dan Jones,"Industry needs a high-fidelity propulsion modeling and simulation capability for Insensitive Munitions (IM) hazard analysis in order to quantify the trade space for performance vs. safety. Full-scale testing of large propulsion systems (greater than 20 inch diameter) is too costly and more importantly, not practical due to lack of sufficiently large instrumented test facilities. Currently DoD/OUSD (AT&L) undertook a Weapons and Munitions M&S initiative as a portion of their Systems Acquisition Portfolio for Land Warfare and Munitions (LW&M), which will result in an initial capability during FY 08-10. This STTR proposal will provide a parallel, multivariate user interface/data organization structure including appropriate testing protocols to enable industry to integrate the government M&S capability into their programs and technology bases. The primary focus will the development/growth of engineering models/codes to address primarily impact hazards from fragments and bullets. The secondary focus in later years will be on thermal hazards. The proposed interface/data organization structure will connect IM-related applications and industry technology bases to the government M&S toolset capabilities and growth plans in the functional domains of physics, numerics, databases and validation methods. It will include linkages to the LW&M initiative's resources, venues and policy/control points.less","99,992",2007,2008
0,Efficient Multi-Scale Radiation Transport Modeling,United States Department of the Air Force,to Shashi Aithal,"Radiative transfer is of special importance in several applications from re-entry flows to rocket engines and air-breathing engines. Solution of the Radiative Transfer Equation (RTE), which is a complex integro-differential equation, places stringent requirements on the computational resources. Additionally, radiative transfer can occur over widely differing spatial scales further increasing the computational complexity. Hence efforts have to be made to develop efficient numerical algorithms and solvers to address issues of accuracy and computational time. Furthermore, there is a need to develop accurate physical models that include real gas effects such as non-ideal equations of state and frequency-dependent radiative properties for the participating medium. In this research, HyPerComp proposes to develop a high-performance, multi-physics, multi-scale computational platform to address a large class of problems involving radiative transfer. PWRFlow, an in-house unstructured, parallel continuum flow solver currently solves the RTE for turbulent reacting flows. This capability will be extended to solve the RTE from the optically thin to thick limits. Use of computationally efficient hybrid methods and accurate physical models will be developed as a part of this research effort. BENEFIT: The main focus of this STTR is to develop an understanding of the role of multi-scale radiative transport in turbulent reacting flows. Work done under this research will have applications in several technologies critical in aerospace propulsion, automobile engines and plasma processing reactors. Additionally, manufacturers of gas turbines and combustors along with the energy industry using coal/oil-fired furnaces will benefit from this research. HyPerComp envisions the development of a commercial suite of software tools to assist in combustion-based applications for general propulsive and chemical engineering applications. It is anticipated that such a commercial tool will be ready for marketing on the successful completion of Phase II of this STTR.less","99,992",2008,2009
0,Innovative Methodologies for Manufacturing of Lethality Test Articles,Missile Defense Agency,to John Brough,"The experimental validation of the DoDs weapon systems is at the cornerstone of national security considerations. The structural requirements for the targets utilized impose a severe cost and lead time burden due to the limitations imposed by the traditional manufacturing processes currently used. Novel manufacturing methods for metal alloys have been established in the past years, but they have yet to be incorporated into the DoDs target manufacturing supply chain. Our extensive experience with powder consolidation, parts manufacturing and additive manufacturing (AM) has led us to identify a combination of technologies to rapidly produce the required test items at a fraction of the current cost. We thus believe that 3D printing holds the potential for the production of printed green parts suitable for microwave (MW) sintering to consolidate them into materials of near theoretical density and strength. Our proposal will outline the advantages and limitations of each method, a robust work plan to address the current challenge and a solution to provide an expedited and low-cost manufacturing process for MDAs lethality articles. Beyond this specific application, we foresee a market in specialized industrial parts where the machining costs are elevated, all of which MATSYS will become a commercial supplier.Approved for Public Release | 18-MDA-9522 (23 Feb 18)less","99,973",2018,2018
