,title,funder,investigator,abstract,funding_amount_usd,start_year,end_year
0,Wartime Organophosphate Exposure. Adenosine-based countermeasures to protect the CNS,Defense Threat Reduction Agency,to Janet Baulch,"There have been numerous incidences of organophosphate (OP) nerve agents such as sarin (GB) being used as weapons, representing a significant threat to warfighters and civilians. Immediate effects of exposure can include seizures, respiratory distress and death (1). Beyond those first minutes, or following lower dose exposures, there is increased risk for brain injury that may progressively worsen for months post-exposure without resolution. (1). Collectively these CNS outcomes of OP exposure impact the long-term quality of life (QOL) for victims and could represent an immense burden on the VA health care system. Our recent DTRA-funded rodent studies suggest that adenosine augmentation effectively mitigates cognitive deficits and neuroinflammation elicited following irradiation, outcomes similar to those observed following OP exposure (preliminary data and 2,3). Our project, responsive to Thrust Area 7-Fundamental Science for Chemical and Biological Defense, develops a novel adenosine-based, neuroprotective countermeasure to combat adverse CNS outcomes following GB exposure. Our lead compound ABT-702, an adenosine kinase (ADK) inhibitor, is an orally available, potent, well-tolerated drug that can be stockpiled for emergencies. The principles by which this compound acts are approved by the FDA or are in phase I clinical trials for other applications (4). Our milestones will establish the impact of acute GB exposure on the CNS and the efficacy of ABT-702 to protect against or mitigate the adverse effects of OP exposure.less","14,031,010",2022,2027
0,ADVANCED OPTICAL TECHNOLOGIES FOR DEFENSE TRAUMA AND CRITICAL CARE,Office of the Secretary of Defense,to Michael Berns,"This is an integrated proposal of eight projects that individually, and combined employ optical based technologies specifically for the purpose of meeting capability gaps in the medical care of wounded warfighters, as identified by the Department of Defense. All of the projects of this proposal focus on aspects of trauma and critical care assessment and management, and have defined deliverables in terms of a device and/or procedure that addresses JFHP capability gaps. Project 1 will develop a non-invasive wearable sensor to provide continuous physiologic information in order to optimize stabilization and treatment strategies during and beyond the Golden Hour of battlefield injury. Project 2 will develop wearable hemodynamic and metabolic sensors for critical care assessment and monitoring of lactate and other hemodynamic markers. Project 3’s goal is to develop a flow-enhanced modification of pulse oximetry for improved performance in far-forward field conditions. Project 4 will develop a durable, compact blood coagulation analyzer for real-time coagulation assessment. Project 5 will further develop, enhance, and expand our patented and now commercially available tissue viability surgical camera to quantitatively and non-invasively assess directed energy burns, thermal burns over large surface areas, and assess burn interventions using wide-field functional imaging. Project 6 will expand the development of functional OCT to add airway compliance and ciliary function capabilities to the characterization of inhalation airway injury. The goal of Project 7 is the further development and validation of a hand-held, point-of-care wound infection and biofilm imaging device. Project 8 will focus on developing an in vitro assay system for structural and functional mechanisms of traumatic brain (TBI) and spinal cord injury. Projects 1, 2, 4, 5 and 6 involve collaborative efforts with research groups at the US Army Institute of Surgical Research (USAISR). In addition to the eight projects, this proposal also includes funds for administrative core support that provides service to all of the individual projects. All of the projects involve filing of intellectual property rights for patent protection, and/or a commercialization plan. The unique translational design of the Beckman Laser Institute and Medical Clinic, including its Photonic Incubator, along with resources and support of the UCI Beall Applied Innovation for commercialization of devices is ideally suited for this program.less","6,800,000",2020,2023
0,Advanced Optical Technologies for Defense Trauma and Critical Care,United States Air Force,to Michael Berns,"This is an integrated proposal of six projects that individually, and combined employ opticalbased technologies specifically for the purpose of advancing combat casualty care of woundedwarfighters, as mandated by the Department of Defense. All of the projects of this proposal focuson aspects of trauma and critical care assessment and management, and have defineddeliverables in terms of a device and/or procedure that addresses JFHP capability gaps. Projects1 and 2 focus on Functional Imaging: The goal of Project 1 is the development and evaluationof technologies for comprehensive real time quantitative measurement of tissue lactic acid, pO2,oxy- and deoxy-hemoglobin, and cytochrome c oxidase redox state, to develop non-invasivemethods for detecting acute dehydration in active soldiers, and development of a miniaturized,wearable Diffuse Optical Spectroscopy device that will enable these applications. Project 3’sgoal is wide-field functional imaging for assessment of burns and wound healing. Projects 4 and5 are focused on Structural Imaging: The goal of Project 4 is the development of a high-speedlong-range Fourier domain OCT system for imaging inhalation airway injury and respiratoryepithelial cilia function, and Project 5 will develop non-linear optical imaging technologies forin-vivo detection and monitoring the treatment of bacterial biofilms in wounds. Project 6 willcontinue studies to determine the cellular pathways important to the repair of traumatic brain andspinal cord injury.less","5,400,000",2017,2020
0,Sequential release of influenza hemagglutinin variants using liposomes and polymers with programmable release kinetics.,Defense Threat Reduction Agency,to David Davies,"Vaccination is one of the most cost-effective measures to save lives, and has been responsible for the complete, or near complete, eradication of several infectious diseases. Conventional vaccine approaches are less effective for providing protection against multiple variant antigens (Ags), particularly when administered in a single dose. In this multidisciplinary application, that combines immunologists, chemists, pharmaceutical and biochemical engineers, we propose to develop a single-shot formulation platform, using influenza hemagglutinin (HA) variants (H1, H5, H7) as a model Ag, followed by filovirus glycoprotein (GP) variant Ags from Marburg and Ebola (species Zaire and Sudan) viruses. Each variant will be delivered in a different delivery vehicle designed for non-synchronous Ag-release in vivo. These vehicles will comprise lipid-based nanoparticles, protein-based nanoparticles, and microspheres, and modified with toll-like receptor (TLR) 7/8-agonist for increased adjuvanticity. Antibody (Ab) crossreactivity will be evaluated on HA and GP variant protein microarrays, and affinity maturation confirmed by affinity measurements in sera, and by Ab V-gene sequencing. Cross-reactivity of anti-HA antibodies will also be evaluated in vivo for protection against challenge with heterologous influenza strains. This platform (Fig. 1), we call Affinity Maturation of Antibody by Non-synchronous Delivery of Antigen (AMANDA), can be applied to other variant pathogens of relevance to the warfighter.less","4,998,573",2018,2023
0,Chemically Programmable Virus-Like-Particles (cpVLP) for Single Dose Vaccination,Defense Threat Reduction Agency,to Philip Felgner,"Vaccines fail because they 1) lack the correct antigen and 2) they don’t induce a sufficient immune response. To address these gaps, our laboratory is in the 1st Option Period of a 3 year DTRA contract entitled “Using Whole Proteome Microarrays to Identify QFever Vaccine Antigen Candidates Associated with Protection. Project CBM-V-01” (HDTRA1-16-C-0009). We use a proteome microarray containing all 2000 proteins from the Q fever agent Coxiella burnetii to discover better vaccine antigens, and novel multi-TLR agonist conjugates to boost immune responses. This project uses a 2 dose, Prime & Boost immunization regimen. In response to the DTRA Topic G11 announcement “Critical Requirements for Effective Single Dose Vaccine”, we will construct and screen an assortment of nanoparticulate and biodegradable microsphere formulations with different physical properties that release antigen and TLR agonists at different rates. By mixing nanoparticles and biodegradable microspheres with different antigen release kinetics we aim to accomplish the Prime & Boost after a single injection. The nanoparticles are also designed to target antigen to the draining lymph node for improved vaccine efficacy. We will use diverse resources and personnel from our institution to accomplish the objectives of this new multidisciplinary proposal. Novel TLR agonists formulated in liposomes, nanoparticles and microspheres will be synthesized in the chemistry department. Vaccine formulations will be developed and characterized in the Pharmaceutical Sciences, Biomedical Engineering, and Chemistry Departments. Advanced immunoimaging resources in our Stem Cell Research Center will be used to determine bioavailability and track delivery of vaccine into the draining lymph node. Immunogenicity studies will be conducted in the Institute for Immunology and Flow Cytometry Facility. Our model vaccine antigen for this project is from Coxiella burnetii a biological weapon. We will utilize an in vivo mouse Immunogenicity Pipeline to evaluate the intensity and duration of the adaptive T- and B-cell mediated immune responses induced by these cpVLPs. Live rodent challenge studies will be conducted in our certified BSL3 animal laboratory that has been registered with the Select Agent program for over 10 years and houses the National Training Center for Select Agent Research.less","3,998,216",2018,2022
0,User-directed analysis and verification of modified binaries,Defense Advanced Research Projects Agency,to Mark Boddy,"In the Phase I and II efforts on Galois' Attack Sensitive Brittle Software (Brittle) SBIR project, we implemented Software Fault Enhancement (SFE), a binary modification technique for improving the robustness of existing binary code, without requiring access to source code or other documentation.  This work is promising enough that the toolset is now being commercialized.  On this sequential Phase II project, we will extend and integrate recent work on symbolic, concrete, and timed trace analysis to implement new means of providing assurance to the user that binary modifications made for SFE do not result in additional, unwanted changes in behavior.  This specifically includes changes in timed behavior, important in the operation of embedded systems such as digital control systems. The results of this project will be useful for providing such assurance for a range of applications of localized binary modification.  In addition to SFE, these include patching bugs or removing possible execution paths (e.g., removing application features), or instrumenting binaries to gather run-time information for further testing and analysis.  In all of these cases, potential end-users need assurance that the modified binaries will behave as before, except in circumscribed ways related to the goal of the modification as above.less","1,799,837",2023,2025
0,Robust Sandboxing and Lifting of ELF Binaries,Defense Advanced Research Projects Agency,to Stephen Crane,"Software and hardware flaws can be exploited to make programs perform unintended computations or leak sensitive data. We propose to counter these threats by isolating libraries and other program units inside a single process. Software developers will control how the code and data of an application gets mapped to compartments and declare how applications are intended to interact with one another. We will use virtual memory management features of modern x86 processors to make switches between compartments faster than context switches between processes while providing comparable isolation and security properties. Since not all applications can be built from sources, we will also investigate lifting of legacy binaries. This will involve design of suitable intermediate representations which can represent high-level semantics recovered via binary analysis and verified via formal methods. Finally, we will use the proposed lifting capability to investigate compartmentalization of legacy binaries.less","1,799,333",2023,2025
0,HONEY-MON: Combining Survivability with Cyber Deception,United States Department of the Navy,to MICHAEL FRANZ,"We propose a next-generation survivable system architecture that integrates redundant execution approaches from the domain of dependable systems with moving target defense techniques and cyber deception concepts from the domain of cyber security. As an added bonus, our approach provides novel defenses against exploits that target hardware flaws, including microarchitectural side channels. To the best of our knowledge, the combination of the first three that we are proposing here is an entirely novel approach that hasn't been tried before, and the fourth characteristic makes it even more compelling.In the proposed architecture, every server is a true moving-target NVX system and is simultaneously also a honeypot. Our main idea is that instead of terminating execution when a variant in a multi-variant execution is compromised by an attacker, the compromised variant is instead peeled off the joint computation and turned into a dynamic honeypot instance instead, while the surviving variants re-constitute and continue operating.Moreover, our approach significantly increases the mutual dissimilarity of the simultaneously executing variants by allowing the different versions to run on heterogeneous hardware; specifically, on both x86 and ARM at the same time. In order to totally subvert such a system, an attacker would need to craft an attack that simultaneously compromises both an ARM-based and an x86-based system using the identical inputs, and potentially do this while both the x86-based and the ARM-based variants themselves are constantly mutating as a moving-target defense. It is also highly unlikely that a hardware flaw such as a microarchitectural side channel would manifest itself in the same manner across two completely different processor architectures, so that an NVX system executing across different ISAs provides a natural defense against attacks that rely on such side channels. For example, it is outright impossible to mount a Rowhammer attack on memory cells that are not co-located on the same machine. If successful, our approach will set the bar to attackers significantly higher than all existing defense techniques that we are aware of, either implemented or proposed.The most important advantage of our proposed approach is that it doesn't require a human specialer to obtain the desired resilience gains. While existing approaches to retrofitting security onto legacy software, including current approaches of introducing heterogeneity, have been quite effective, they typically require substantial source code understanding and manual source code adaptation. Theproposed solution requires source code, but operates on such source code automatically.Our plan is to perform the research and build the infrastructure so that such cyberdeceptive NVX systems can be generated automatically from the source code of an ordinary server application. As part of our research plan, we propose to build a fully functioning prototype of the proposed system at scale. That system will take an existing server application, such as the Nginx web server, and then automatically instantiate it into a cyber-deceptive NVX system. Ourresearch will also conduct a comprehensive and objective evaluation of our approach and produce clear and concise metrics of its performance. Lastly, all software developed under this project will be released as open source.If successful, our project will go a long way towards increasing the survivability of networked systems, while simultaneously shifting the economies of cyber warfare in favor of defenders by raising the cost of an attack for the adversary.Approved for Public Releaseless","1,654,816",2021,2024
0,IA^2: Intent-Capturing Annotations for Isolation and Assurance,Defense Advanced Research Projects Agency,to Per Larsen,"Systems software can be tricked into performing unintended computation by feeding it carefully crafted inputs that corrupt and leak internal state. Modern software is so complex that implementation defects, some of which are exploitable, will only be discovered in the field. Operating systems isolate the state of each process such that a program experiencing an error does not bring down the entire system. There is no separation between libraries inside a single process, however. This has become a problem as applications grow more complex and defects in unrelated components can be combined freely into a weird machine performing unintended, malicious computations. As a result, several large applications have switched to a multi-process design. The idea is to reduce the “blast radius” of malicious inputs by i) processing untrusted inputs in a sandboxed process with few privileges and ii) performing privileged operations in a separate, higher privileged process. The application of multi-process designs is unfortunately limited by the substantial additional developer effort required to re-architect large and complex code bases such that costly inter-process interactions and marshaling of data does not lead to unacceptable slow downs. We propose an easy-to-use and efficient compartmentalization scheme that leverages a new memory management feature in x86 processors. The approach is easy to use because it does not require developers to split their application into multiple processes. Instead, programmers will use annotations to map libraries and executables to a set of compartments. When the application is built, we will automatically insert call gates on call edges that cross compartments thus reducing the programmer burden. Call gates implement compartment switches without assistance from the kernel and are therefore more efficient than full context switches from one process to another. Programmers are required to declare their intent to share certain data between compartments; this again requires less effort than marshaling data between processes. The compartmentalization substrate allocates data based on whether it is shared between compartments or private to a single compartment. We will provide tools that help programmers insert the necessary sharing annotations and diagnose segmentation faults triggered by accesses to the private memory of another compartment.   The proposed work builds on the encouraging results obtained during the Phase I effort. The experimental design of Phase I relied on a customized Rust compiler to compartmentalize applications. A major goal of Phase II is the ability to compartmentalize applications without the need to use a custom compartment-aware compiler to facilitate deployability. Other key improvements include the ability to support more compartmentalization models and deployments scenarios.less","1,498,543",2021,2024
0,"High-Pressure Liquid-Propellant Rocket Engine Combustion Instability: Complex System, Uncertainty Quantification, and Reduced Basis Modeling",United States Air Force,to william sirignano,"Objective of this research is to predict near, and supercritical combustion and injection dynamics, using high-pressure equation of state and variable properties, and developing three-dimensional wave dynamics model. Scientists will use the expansion of the uncertainty quantification to address thermo-physical and chemical parameters at these high pressure conditions. The framework developed using reduced-basis, and stochastic modeling will be extended to predict combustion instabilities in liquid rocket engines.less","1,428,721",2015,2018
