,title,funder,investigator,abstract,funding_amount_usd,start_year,end_year
0,Leapfrog: Learn and Prune Features in Binary Programs,United States Department of the Navy,to Heng Yin,"As software systems keep evolving, we have witnessed that modern software is increasingly complex and bloated. Aprimary reason for"""" this phenomenon is because current software engineering practices, such as object-orientedprogramming and code reuse, introduce la""""yers of abstractions. As a result, software becomes more extensible andversatile. However, on the flip side, increasing complexity"""" leads to worse performance and larger attack surface.At the same time, commodity applications, such as office suites and web brows""""ers, are built with performance in mind.Given the sophisticated functionalities they provide, it is standard to use languages that"""" provide sufficient levels ofabstraction with a minimal performance penalty. Therefore, low-level object-oriented languages, such a""""s C++, aretypically the choice for their implementation which are difficult to reverse-engineer and present challenges when itcome""""s to recognizing the types and data structures due to aliasing.In this project, we would like to develop a set of techniques to rev""""erse this trend. For commercialoff- the-shelf (COTS)binary programs, we would like to automatically identify important features in"""" it, remove unnecessary features (uponuser~s selection), and further harden the pruned binary (to defeat potential exploitation att""acks).less","4,686,131",2017,2022
0,One-Dimensional Quantum Materials,United States Department of the Navy,to ALexandar Balandin,"Overview and problem statement: This project will create a new comprehensive research field of one-dimensional (1D) quantum materials consisting of individual atomic chains and few-chain threads of van-der-Waals (vdW) materials, and composites comprised of bulk polymer matrix with 1D atomic chain fillers. Thereby, it will shift the current paradigm by taking one step down in dimensionality from 2D vdW materials, and creating truly 1D quantum materials. The proposed research focuses on unfettered, beyond-conventional approaches to the discovery of materials that exhibit previously unattainable functionalities. Limited experimental work is available only for bundles of atomic chains of such 1D vdW materials, suggesting extraordinary electrical current densities and unusual electron-phonon coupling. Computational machine learning studies indicate that there are hundreds of vdW materials with true-1D or quasi-1D crystalline structures consisting of 1D atomic threads weakly bound in bundles. Exfoliated to a few-chain atomic threads, these materials become genuinely quantum: owing to their atomic scale dimensions and atomically sharp interfaces, the electron states are quantum confined; in addition, many of 1D vdW materials are strongly-correlated quantum systems, which reveal non-trivial quantum phenomena, such as charge-density-wave (CDW) condensate phases, magnetic phases, superconductivity, strong spin orbit coupling, and non-trivial topology. Project goals and objectives: We propose to perform a comprehensive study of 1D quantum materials with the goals of understanding the limits of downscaling of 1D vdW crystals; fine tuning electron and phonon transport, quasi-particle interactions; and controlling strongly correlated quantum phenomena in 1D materials. We anticipate discoveries of unique electronic, thermal, and optical properties of 1D quantum materials, resulting from the ultimate quantum confinement of elemental excitations and collective quantum states. We will apply perspectives from physics, chemistry, materials science and engineering to provide high-payoff research results. Project objectives include: 1) exfoliating 1D vdW materials down to the ultimate single-atomic chain limit; 2) determining the electrical, thermal, magnetic, and optical characteristics of 1D materials; 3) establishing the electrical control of these characteristics; and 4) understanding and engineering the properties of quantum composites comprised of the polymer matrix and 1D vdW fillers. Innovative technical approaches include nanofabrication of capped and suspended 1D vdW devices to study single quantum phase-slip events; electronic “noise spectroscopy” for monitoring CDW and magnetic phase transitions; Brillouin-Mandelstam-Raman spectroscopy of confined elemental excitations; polarization photoluminescence spectroscopy of excitons; thermal bridge measurements of heat conduction properties; and electromagnetic testing of dielectric constants of composites with 1D vdW fillers. The experimental research will be supported by the world-class ab-initio theory. Anticipated project outcomes and impact on DoD capabilities: The long-term outcomes of this project will create a foundation for the new class of 1D quantum materials and composites based on such materials with numerous potential applications to DoD scientific priorities and operational needs. The proposed 1D vdW quantum materials will lead to revolutionary innovations in the electronics, sensors, and energy conversion, areas which are of importance to DoD. These materials will impact the DoD capabilities in low-power memory and logic, nanoelectronics, antenna design and communications, as well as energy conversion and thermal management. Additionally, this project will educate and train researchers for the defense workforce at a University with a rare combination of being an accredited Hispanic Serving Institution and a highly ranked research-intensive institless","2,999,458",2021,2026
0,Identifying Host Pathways Important to Protective Immunity Against CCHFV,Defense Threat Reduction Agency,to Scott Pegan,"Viral hemorrhagic fevers (VHF) are a group of viral diseases representing persistent threats to the national defense of the U.S. due to their lethality, potential for weaponization and endemic nature to areas of U.S. strategic interest. Of particular threat to our nation’s warfighters are Bioterrorism Category A VHFs such as the Ebola, Marburg, Lassa, Lujo, and Crimean-Congo Hemorrhagic fever virus (CCHFV). Currently, no CCHFV vaccine candidates have reached Phase I clinical trials curtailing the understanding of immunity build against CCHFV versus other VHFs. The objective of this work will be to define the correlates of protection associated with immunity against a broad-spectrum of CCHFV strains using a CCHFV viral replicon particle system (VRP).less","2,221,146",2022,2024
0,Quantitative and Mechanistic Analyses of Bond Selective Chemistry via Non-Thermal Excitation of Metal Nanostructures,United States Department of the Army,to Lorenzo Mangolini,"In this project we will utilize a comprehensive and combined experimental-computational approach to develop mechanistic descriptions of catalysis by metal nanostructures when excited via a non-thermal energy sources (photons, electrons and ions). The overall objective is to mechanistically characterize the most efficient and bond-selective selective approaches for driving chemical conversion processes at metal nanoparticle surfaces through non-thermal excitation mechanisms. A few common metal nanostructures (Ag, Pt, Ru nanoparticles) and extensively studied chemical systems (NO, CO, N2, CH4, and CH3OH desorption and dissociation) will be studied under non-thermal excitation conditions - using photon or electron excitation - or their combination (using a non-thermal low-temperature plasma excitation). There is a mounting body of scientific evidence suggesting that such mechanisms can provide improvements with respect to both yield and reaction selectivity for catalytic reactions on nanostructured metal surfaces, but further developments will only be accessible once a fundamental understanding of chemical reaction induced by non-thermal excitation of metal nanostructures is reached. Carefully designed experiments will be conducted to investigate the reactivity of metal nanostructures under photon irradiation and e-beam exposure. A non-thermal plasma reactor will be used to investigate their reactivity under the more complex scenario in which multiple non-thermal excitation processes are simultaneously occurring. Finally, a combination of ab-initio, non-adiabatic molecular dynamics, and time-dependent density functional theory calculations to complement experiments will be used to gain a fundamental, theoretical understanding of the processes under investigation. By correlating these findings with theoretical analysis of the non-thermal chemical processes, we expected to develop henomenological insights into properties of molecules, metals, and excitation sources that are critical for enabling bond selective chemistry in non-thermal processes on metal nanostructure surfaces.less","1,975,000",2017,2020
0,"Analysis, Design, and Operation of Resilient Networks Against Localized, Strategic, and Dynamic Adversaries",United States Air Force,to Fabio Pasqualetti,"Dynamic networks are critical in multiple operating theaters of interest to the U.S. Air Force. These distributed systems have achieved great levels of autonomy, which guarantee success under nominal operating conditions in different time critical missions. Unfortunately, despite recent efforts to characterize attack vectors and countermeasures, research studies and real world incidents have demonstrated how capable adversaries can severely disrupt the operation of dynamic networks, thereby questioning their resiliency to operate in uncertain and adversarial environments. Novel theories and tools are critically needed to guarantee resiliency of dynamic networks, where both the network protocols and the attack strategy adapt over time as in an intricate game. In this project we characterize vulnerabilities of dynamic networks to attackers with different capabilities, knowledge, and objectives, and design rigorous methods to protect dynamic networks and adapt them to ensure resiliency to attacks. In particular, the PIs will (i) characterize fundamental resiliency limitations of networks against partially informed attackers, (ii) design topology adaptation algorithms to enhance resiliency of dynamic networks, and (iii) design strategies for the network operator to detect and adapt to adversaries. This project will undertake a rigorous approach based on dynamics, control, graph, and game theories, and will validate the findings through simulations and experiments with state of the art facilities. In addition to allowing the deployment of reliable networks and distributed systems in hostile environments, the theories and methods developed in this project will have far reaching implications and applicability across science and engineering, including medical, automotive, and energy sectors, as already demonstrated by the PIs' work.less","1,499,113",2019,2022
0,"Integrated Perception and Planning in Resilient Multi-Modal, Multi-Agent Networks",United States Department of the Navy,to Amit Roy Chowdhury,"Principal Investigator: Amit Roy-Chowdhury, University of California, RiversideThis project will focus on foundational principles to enable integrated sensing and analysis in large multi-modal, multi-agent networks with weak supervision, leading to reliable decision-making in complex, dynamic and uncertain environments while being resilient to adversarial interactions. This will be achieved through two broad research objectives: A) learning multi-agent, multi-modal data association models with limited supervision, and B) reliable decision-making in collaborative, decentralized teams. We will build upon existing low-level feature extraction and classification methods, and focus onthe high-level machine learning and decision making processes. Obj. A will be achieved through three tasks. First, we will show how data association modelsbetween multiple visual sensors can be learned with a small fraction of the labeling cost in current methods by taking into account the global characteristics of the multi-agent network (A1). Associations across modalities can also be learned with limited supervision by leveraging upon side information, possibly from the web; the challenge is to identify the most relevant side information (A2). The models need to be updated over time based on their performance. Information-theoretic methods for selecting the most informative samples will be used for model update, and sparse and low-rank structures inherent in the data will be exploited (A3). Obj. B will build upon the models learned in Obj. A to identify the portions most relevant to a task considering the correlations in the information between various sensors and modalities (B1). B2 will focus on identifying adversarial attacks on the data, first with known dynamical models offeature evolution to set performance bounds, followed by the more practical situation where models are only partially known. B3 closes the loop between perception and planning by acquiring the data that maximizes performance of the analysis modules. The proposed research builds upon recent advances in computer vision, machine learning, signal processing, robotics, and controls. The team of PIs reflects this blend of expertise. All the tasks will involve solid theoretical analysis and algorithm development focusing on optimizationstrategies, computational complexity, and performance bounds, and will be complemented with a rigorous evaluation phase for individual tasks, as well as their integration. Our existing facilities, along with equipment purchased through two new DURIP grants, will enable the experimental evaluation. The results will be presented in top-tier international conferences and journals, as well as in reports and presentations to the sponsor. The project directly addresses the need for understanding an environment from large volumes of heterogeneous streaming data collected by a team of autonomous agents. This has important Naval applications in field operations ranging from national security to disaster response. Our proposed methods will enable continuous and efficient learning of models that represent the data across sensors and modalities without the need for strong supervision, making decisions about the most task-relevant portions of the data along with detection of any adversarial attacks, and collaborative planning to acquire additional data to maximize the decision making accuracy. Overall, the project addresses some of the fundamental limitations of current autonomous systems by requiring only limited supervision, having the ability to identify relevant and reliable portions of large data volumes, and integrating the analysis and acquisition phasesless","1,200,000",2019,2023
0,PECASE: MICROFLUIDIC PHOTOBIOLOGY MICROSCOPY OF LIGHT HARVESTING BACTERIA AT THE SINGLE CELL LIMIT,United States Air Force,to Nathaniel Gabor,"Photosynthesis is remarkable, achieving nearly perfect light harvesting efficiency in spite of dynamic light conditions, rapidly fluctuating molecular structure, and highly intricate energy transfer pathways. Yet, it remains unknown whether there exists a fundamental organizing principle that gives rise to robust photosynthetic light harvesting. Here, we predict that light harvesting antennae can be finely tuned to maximize power conversion efficiency by passively minimizing excitation noise, thus providing a unified theoretical basis for the experimentally observed wavelength dependence of light absorption in green plants, purple bacteria, and green sulfur bacteria. The research objectives of this proposal are two-fold: First, we propose to fabricate and characterize a novel microscope capable of measuring growth dynamics of light harvesting bacteria at the single cell limit. Second, by combining strong synergy between experiment and theory, we will use this microscope to achieve our main scientific and technical objectives: (I) demonstrate massively parallel high throughput microfluidic arrays for real-time, high data-density measurements of bacterial growth in light, (II) demonstrate a robust paradigm for photosynthetic efficiency and explore bacterial growth using data-intensive video imaging and single cell recognition, and (III) demonstrate a new optical multi-band correlation spectroscopy technique to examine the physics of noisy antennae in the light harvesting network of photosynthetic bacteria. We anticipate that measurements conducted using the proposed apparatus – the Ultra-Parallelized Microfluidic Photobiology Microscope - will give remarkably rich insight into microbial processes under illumination. In its simplest form, we will gain precise control of optical excitation at the single cell level. Our work focuses on exposing basic operating principles in complex biological networks, a burgeoning field of study that bridges physics, biology, and chemistry. No current field of research utilizes the synergistic approaches here, and the expected impact of our work may upend the current state of knowledge of light sensing in biosystems.less","1,000,000",2020,2025
0,Parallel Discrete Event Simulation on Emerging High-performance Multicore Clusters,United States Air Force,to Nael Abu-Ghazaleh,"This research tackles the issues regarding multicore platforms. As the number of cores grows, and the number has been growing exponentially in the past few years, issues to be handled include improving the performance, scalability and reliability of Parallel Discrete Event Simulation. So, as the number of cores rises, there are some issues to contend with, specifically, algorithm challenges to scalability, the hardware bottlenecks that can prevent scalability and run-time bottlenecks that effect scalability. This research will study these issues with the objective to create innovative solutions.less","950,000",2015,2019
0,High-yield plant based manufacturing of bioengineered spider silk (Phytosilk),United States Department of the Army,to Robert Morrow,"The high strength to weight and elasticity properties of spider silk make it of significant interest for the production of advanced fibers for military and civilian applications. Plants may offer the only feasible mechanism to produce quantities of spider silk proteins sufficient to sustain large scale manufacturing of these high performance fibers. Successful implementation of bioengineered spider silks requires appropriate genetic constructs, crop plants that can be successfully transformed with the constructs, and the technology and protocols necessary to produce high yields of the expressed protein. This project proposes to bring together plants transformed with spider dragline silk constructs from the University of California-Riverside with advanced environmental control technologies and protocols developed by Orbital Technologies Corporation to provide a system capable of high yield spider silk protein production.less","750,000",2007,2008
0,Training from Undergraduate through Navy Engagement (TUNE),United States Department of the Navy,to Marko Princevac,"This project will connect the Navy’s ongoing need for a larger and more diverse science and engineering workforce with the State of California’s strategic plan to encourage young people to begin their postsecondary careers at community colleges and then transfer to four-year institutions. The University of California, Riverside (UCR) – one of America’s few accredited research-intensive Hispanic Serving Institutions (OPEID-00131600) – has active programs in partnership with nearby community colleges that enable students to transfer and complete a bachelor’s degree in science or engineering in four years. This project will expand on those efforts to enlarge and sustain the pipeline with a series of services to students that begin in the first year of college and continue beyond their transfer to UCR. These will include academic advising, tutoring, engagement with professional engineering organizations, events and lectures, and undergraduate research opportunities at UCR. Students will build expertise and enthusiasm in many areas of engineering that are important to the Navy by participating in UCR research projects (many of which are supported by the Office of Naval Research or other Navy organizations) and in-classroom exercises that allow for independent discovery and innovation. A major strength of this project is its foundation on well-established approaches and relationships, based on the literature and on our experiences over several years. It builds on projects that have been successful, but that have operated only intermittently, rising and falling with the availability of grants from various sources. Now, with California’s new emphasis on the postsecondary transfer pipeline, we will be able to solidify our relationships with community colleges in the region under support from this ONR program and sustain these programs for long-term benefits. The outcome will be a steady flow of students from Southern California community colleges (all of which are also accredited Hispanic Serving Institutions) to UCR, where they will complete bachelor’s degrees and research/design projects based in part on current research projects sponsored by the Office of Naval Research and the Naval Surface Warfare Center, Corona Division. These students will be prepared to move on to graduate school, careers as engineers with the Navy, or careers with technology companies that produce technology innovations that contribute to U.S. military superiority.less","750,000",2018,2019
