,title,funder,investigator,abstract,funding_amount_usd,start_year,end_year
0,Trust Worthy Information Storage Technology Enhanced Devices (TWISTED),Defense Advanced Research Projects Agency,to Peter Alvaro,"Continuing advances in solid state storage technology have enabled detachable storage devices that are inexpensive, high bandwidth and high capacity, making them practical for sharing even large amounts of data among devices that need not be networked.  For this reason, they are very attractive as a mechanism for secure data storage as well as transfer. Unfortunately the current generation of memory sticks expose risks that make them unsuitable for use by US government agencies. The primary concern with these devices is the attack surface presented by the micro-controller that is required to present the storage as a USB peripheral to the host operating system. Exploits have been demonstrated in which an attacker could, with brief physical access to a memory stick, reprogram its firmware so as to enable arbitrary privilege escalation on a host operating system without needing to exploit an OS-level software vulnerability.  A reprogrammed storage device could exploit the USB protocol, which multiplexes many physical devices on logical channels and permits devices to negotiate registration (and re-registration), to masquerade as a keyboard for long enough to capture the root password via physical keystrokes.  The flash can be reprogrammed with a laptop, making tamper-resistant designs ineffective. We describe the first year of work designing and implementing a secure operating system for memory sticks that is correct-by-construction as well as amenable to formal verification.  Several key features of Twizzler make it ideally suited to the task. It structures memory---whether persistent or volatile---into coarse grained objects that are the units of access control, reducing both the number and variety of access policies that must be considered when deploying the OS. Comprising only 5K lines of code and exposing only 20 system calls to user-space, Twizzler exposes a minimal attack surface and is small enough to be a reasonable target for embedded architecture as well as for systematic verification. Moving the kernel out of the I/O path, it exposes the raw I/O latency and bandwidth  of the memory to programs. To transform Twizzler into an appropriate target for detachable storage micro-controllers requires a research and development effort along three distinct but interrelated lines: Guaranteeing via a flat permission model with no superuser role, in which cryptographically signed capabilities persistently encode access rights. Providing isolation of untrusted code both within and across threads of control via \emph{security contexts} that subsume UNIX roles, and  gated APIs that subsume system calls and IPC, providing fine-grained control of privileges without escape hatches. Ensure secure boot and integrity of trusted components via unforgeable, content-derived naming.less","1,494,236",2021,2025
0,A Productive Open Source Hardware Development Flow,National Security Agency,to Jose Renau,"This proposal ask for resources to improve the productivity of hardware designers. The resulting infrastructure aims at becoming the core of hardware designers tools by allowing large scale designs, incremental elaboration/synthesis/simulation, leverage multicores, and cloud. We call this project LGraph for the Live Graph that resides at its core. LGraph is designed to become the next LLVM-like infrastructure for hardware design with a focus on fast response time for large designs. Current tools, commercial and academic, do not scale well with large designs. This lack of scalability is shown in compilation, simulation, and verification. As the designs scale in size, the tools get very long compilation times, long synthesis feedback loops, and even slower simulations. While software flows are used to fast incremental flows, hardware designers need to wait hours to get feedback. The goal of this project is that for synthesis and simulation a small code change even for a large project should complete in a few seconds. In addition, other time consuming tasks like formal verification or design frequency improvement should also finish in few seconds. The proposal includes details by providing incremetal elaboration, scalable synthesis, incremental simulation with Hot Reload, scalable simulation. All these changes while providing more correct by construction transformations with elastic pipelines and third party tools. If funded, the team will be directed by PI Renau and co-PI Beamer at UC Santa Cruz.less","1,151,439",2019,2022
0,Physiological Resilience in Mammalian Divers: Assessing the role of vascular conflict and control in recovery from anthropogenic disturbances,United States Department of the Navy,to Terrie Williams,"Underwater noise, most notably from shipping, seismic activities and naval sonars, has emerged as one of the most important and controversial stressors on marine mammal populations worldwide. Despite geo-spatial and temporal evidence linking such anthropogenic disturbances to mass stranding events by deep-diving cetaceans, causal mechanisms between oceanic noise and lethal or sublethal injuries have been difficult to identify. Currently, the leading hypotheses suggest a combination of extreme behavioral flight responses, cardiovascular instability and decompression syndromes. However, the question remains, what factors differentiate when an escape response by cetaceans due to noise exposure leads to benign avoidance or to death? An understanding of two critical elements of the escape response, physiological resiliency and recovery, are required to answer this question. To date, neither has been studied for any integration of key behavioral (dive duration, exercise level), environmental (water temperature), physiological (heart rate, metabolic demand, respiratory rate, heat flow), and biochemical (pH, lactate, blood oxygen, carbon dioxide, catecholamines/cortisol) triggers that control the three Rs of escape reactions in mammalian divers - response, resilience and recovery. We will focus on four physiological pathways to assess resiliency and recovery via the cardiovascular system, 1) thermal and metabolic homeostasis, 2) metabolite control, 3) neurological protection, and 4) behavioral-respiratory integration. This will be accomplished by pairing our current physiological and blood chemistry monitors with newly available, portable near-infrared spectroscopy (NIRS) monitors, heat flux tags and doppler ultrasound technology for assessing tissue blood flow. Using this multi-variable approach with trained cetaceans (bottlenose dolphins, beluga whales) performing controlled swims and dives, we will determine the hierarchy of blood flow to central and peripheral body sites to support local oxygenation and thermoregulation during submersion and surface recovery. Independent and sequential dives will be compared. Particular focus will be on central and peripheral thermal windows, and the hypoxia-sensitive vascular master switch, the brain. By correlating vascular events and blood chemistries with common physiological and behavioral markers used for recovery (i.e., breathing frequency, heart rate, stroke frequency, dive duration) in trained cetaceans under controlled conditions we will develop predictive metrics for determining the timeline for re-establishment of thermal, cardiovascular and metabolic homeostasis in wild diving mammals. This will be tested on both new and previously archived data for the elite deep diver, the narwhal, during control and noise-exposed periods in the wild. This project will be the most comprehensive analysis of diving physiology for cetaceans exposed to unanticipated noise to date. For the first time the cardiac, respiratory, and energetic responses of noise-impacted wild, deep-diving cetaceans will be followed throughout escape and recovery. As such, the study will provide a comparative foundation and key physiological metrics applicable to evaluating the effect of fear and submerged exercise on other marine mammal species and even human divers. Ultimately, these metrics will enable Navy personnel to, 1) develop environmentally-sensitive schedules for acoustic activities that account for the most likely lethal and sub-lethal effects on marine mammal populations, and 2) instigate measures that will promote rapid recovery and resumption of normal behaviors by affected animals.less","959,680",2020,2023
0,Physiological Consequences of Flight Responses in Diving Mammals: Critical metrics for assessing the impacts of novel environmental stimuli on cetaceans and other marine living species,United States Department of the Navy,to Terrie Williams,"During the past two decades, oceanic noise including Navy sonar has remained one of the most controversial and debated stressors aff""""ecting marine mammal populations. Although it has been linked to numerous mass stranding events involving deep-diving cetaceans, ide""ntifying the actual cause of injury has been difficult. This is due to the fact that scientists are just beginning to understand how"" marine mammals respond to anthropogenic disturbances. Specifically, we do not know how the suite of conflicting biological response""s associated with escaping noise interacts in marine mammals to result in tissue injury or death. Only after determining the physiol""ogical consequences of, 1) diving deep and fast, 2) performing escape maneuvers, and 3) surviving disrupted metabolic control during"" submerged flight will we be able to make the link between abnormal behaviors by marine mammals and harm by aversive oceanic noise."" To address this, the main purpose of the pr""""oposed study is to determine the physiological consequences of escape responses in cetaceans, and to develop the key metrics for acc""urately predicting short- and long-term energetic impacts of anthropogenic noise on diving mammals. Our approach considers that anth""ropogenic disturbances that harm marine mammals are associated with extreme, conflicting physiological responses (high speed and ele""vated stroke frequencies coupled to bradycardia and metabolic suppression) that occur with submerged escape. We focus on cetaceans d""ue to the sensitivity of this group to oceanic noise, their vulnerability to developing decompression syndromes, the lack of biologi""""cal information regarding anthropogenic threats, and concern over the number of cetacean strandings attributed to Navy sonar. Usign"" a lab-to-field protocol with trained and wild odontocete cetaceans ranging in body mass from 50 kg porpoises to 3500 kg killer whal""es, we will test the central hypothesis, that the unique biological adaptations that normally enable cetaceans to safely complete a"" dive are overridden during escape responses and pose a risk to metabolic and cardiovascular homeostasis. Four specific aims are pro""posed, 1) determine energetic costs and physiological risks of evasive manuevers by dolphins and whales, 2) build allometric regress""""ions for predicting gait-specific stroking costs for small and large cetaceans, 3) assess the physiological effects of metabolic dia""""pause in diving cetaceans particularly for maintaining heart-brain integration, and 4) apply energetic/physiological metrics to pred""ict the cost of escape in free-ranging cetaceans exposed to anthropogenic noise. Custom heart rate-accelerometer instruments and blood flow monitors combined with open-flow respirometry will be used to determine the capacity for submerged escape by cetacea""ns. We will develop a suite of metrics (peformance costs, evidence of cardiovascular anomalies, relative risk to neural function, at""ypical behaviors) to define acute and chronic impacts due to oceanic noise. By combining data for small and large cetaceans from thi""s proposal and our previous work, we will complete an allometric analysis that will allow investigators to translate behavioral and"""" accelerometer data collected previously or in the future into energetic impacts for animals responding to noise. Thus, results from"""" this project will be directly applicable to all cetaceans, will represent the most comprehensive energetic analysis for free-rangin""""g cetaceans, will represent the most comprehensive energetic analysis for free-ranging cetaceans to date, and will provide critical"""" data for population threat models. Importantly, the project will accomplish the overall objective of improving the protection of ma""rine mammals during Naval operations by enabling Navy personless","910,997",2017,2020
0,Learning Algorithms for Hybrid Dynamical Systems using Experimental Data,Office of the Secretary of Defense,to Ricardo Sanfelice,"The objective of this work is to generate new fundamental science for hybrid dynamical systems that enables systematic design of algorithms for learning the parameters, dynamics, and constraints of such complex systems, using experimental data. Hybrid systems are dynamical systems with intertwined continuous and discrete behavior. Hybrid controllers are algorithms that involve logic variables, timers, memory states, along with the associated decision-making logic. The combination of such mixed behavior, both in the system to control and in the algorithms, is embodied in key future engineering systems. The future autonomous systems will have variables that change continuously according to physics laws, exhibit jumps due to controlled switches, replanning of maneuvers, on-the- y redesign, and failures, while the control algorithms require logic to adapt to such abrupt changes. Hybrid behavior also emerges in such engineering systems due to their complexity. In fact, communication events, abrupt changes in connectivity, and the cyber-physical interaction between vehicles, humans, robots, their environment, and communication networks lead to impulsive behavior that interacts with physics and computing. The intellectual impact of the proposed research plan stems from a novel use of hybrid control theory, one that leads to experimental data-driven learning algorithms for hybrid systems that are not only robust but also optimal. The proposed combination of hybrid control and optimization informed by real-time data exploits { in a holistic manner { key robust stabilization capabilities of hybrid feedback control and optimality guarantees of receding horizon control for complex autonomous systems of interest to AFOSR that are part of the broad mission of the DoD.less","795,503",2023,2027
0,Identification of Navy-relevant oceanographic hotspots guided by ethical practices and experiential learning,United States Department of the Navy,to Roxanne Beltran,"The United States Navy#s position as one of the largest global maritime fleets and concurrent investment in the development and testing of sophisticated sonar technologies means negative interactions with marine wildlife are likely to occur. Identifying where marine organisms are most concentrated can reduce the frequency of negative Navy-wildlife interactions. Biological hotspots (areas of intense biological activity that promote feeding activity in higher trophic level species) have become an important monitoring tool for describing locations where certain species and environments are at greater risk. However, the research community lacks detailed information about the location of biological hotspots in the marine environment. Large marine vertebrates such as whales, seals, seabirds and sea turtles have been identified as ecosystem sentinels, or indicators of overall ecosystem processes and climate change impacts. Northern elephant seals (Mirounga angustirostris) are an ideal vesselfor detecting hotspots of biological activity in the ocean because they are fast, quiet, far-ranging, and deep diving. Our research group co-leads a long-term elephant seal monitoring program which contains the tools to review what is known about hotspots and to understand how hotspots vary across scales using drones, stable isotope analysis, and instruments attached to animals. The research program can facilitate valuable quantitative skills development for undergraduate students, highlight career opportunities in the DoD workforce, and train graduate students to facilitate a safe field environment for future scientists. The proposed work cannot take place without considering the ethics of animal handling and compensating young field researchers. Thus, we propose a holistic research program for conducting Navy-relevant research on biological hotspots grounded in ethical considerations and experiential learning. The characterization and subsequent avoidance of knownbiological hotspots pertaining to foraging, reproduction, migration, and multi-species aggregations of marine animals would be advantageous when planning Naval exercises. Avoiding these areas would not only reduce the direct impacts on the organisms, but also potential negative rippling effects to coastal communities dependent on ocean ecosystem services such as ecotourism and fisheries.Approved for public releaseless","750,000",2023,2026
0,Surgical Cockpit -- Multisensory/Multimodal Interfaces for Robotic Surgery,United States Department of the Army,to Jacob Rosen,"The ongoing military conflicts demonstrate the need to deploy skilled personnel equipped with advanced technology to provide medical and surgical attention as close as possible to the point of injury. A major problem is the occasional mismatch between the type of injury and the type of surgeon available to treat it. Telerobotic surgery is a means to mediate the narrow spectrum of available front line surgical expertise. To date, most R & D efforts on medical robotics for the battlefield have focused on the remote site (the manipulator) with little focus on the critical man-machine interface which is the surgical console. The objective of the proposed project is to develop, fabricate, integrate, and experimentally demonstrate the functionality of a multimodal surgical cockpit (surgical console) enabling telesurgery capabilities which expand the range of surgical expertise to the level dictated by the type and nature of wounds in the battlefield. Through the proposed cockpit, the one or multiple expert surgeons located in the continental US will be able to collaborate while interface with different manufacturers""end effector robots through a universal interface and perform a surgical procedures on solider located anywhere around the globe with a reduced workload and enhanced situational awareness. While the proposed surgical cockpit will be designed specifically for controlling surgical manipulators, it can also provide a unique and innovative console design elements which could be beneficial to all warriors using remote systems, such as UAV, UGV, etc.less","749,942",2010,2011
0,Akamai Workforce Initiative: A New Era of Building a Multi-Level Diverse Workforce in Astronomy and Remote Sensing,United States Air Force,to Lisa Hunter,"The Akamai Workforce Initiative will address workforce needs through this project, which has the following goals: 1) to advance college students from diverse backgrounds into STEM careers; 2) to develop a local workforce in Hawai‘i, reflective of the demographics of the state’s population; and 3) prepare current and future STEM professionals to more effectively train the next generation. The core of the project includes apprenticeships at AFRL and associated federal contractors, and related tech companies and facilities.less","749,831",2015,2018
0,"Super Hardened, EMI and Vibration Immune Chemical Biological Sensor",United States Department of the Army,to Silviu Velicu,"To satisfy DOD’s Joint Services needs for the detection and identification of chemical and biological warfare agents, we propose a compact, low-cost sensor system based on the integration of HgCdTe infrared emitter and photodiode detection technologies wiless","749,595",2009,2010
0,"Super Hardened, EMI and Vibration Immune Chemical Biological Sensor",United States Department of the Army,to Silviu Velicu,"To satisfy DOD's Joint Services needs for the detection and identification of chemical and biological warfare agents, we propose a compact, low-cost sensor system based on the integration of HgCdTe infrared emitter and photodiode detection technologies wiless","749,595",2009,2010
