,Campus,Number of awards,Selected Dollar Amount,Fiscal Year
0,San Francisco,2427,823803527,2005-06
1,San Diego,2514,737831103,2005-06
2,Los Angeles,2883,720129683,2005-06
3,Davis,2830,548624095,2005-06
4,Berkeley,1872,476919386,2005-06
5,Irvine,1379,316077926,2005-06
6,Santa Barbara,917,159713180,2005-06
7,Santa Cruz,837,141940145,2005-06
8,Riverside,689,86875337,2005-06
9,Office Of The President,42,62366058,2005-06
10,Lawrence Berkeley Lab,54,34240941,2005-06
11,Agr & Nat Resources,314,27220347,2005-06
12,Lawrence Livermore Lab,13,13027788,2005-06
13,Merced,58,7705957,2005-06
14,Los Alamos Lab,11,5625353,2005-06
15,Los Angeles,3096,918220706,2006-07
16,San Francisco,2656,895830885,2006-07
17,San Diego,2675,720152112,2006-07
18,Davis,2921,551522444,2006-07
19,Berkeley,1940,530750299,2006-07
20,Irvine,1327,281708214,2006-07
21,Santa Barbara,929,172110074,2006-07
22,Lawrence Berkeley Lab,369,113048144,2006-07
23,Santa Cruz,814,112719193,2006-07
24,Riverside,692,98071924,2006-07
25,Office Of The President,49,39138568,2006-07
26,Agr & Nat Resources,253,16094261,2006-07
27,Merced,68,11771633,2006-07
28,Lawrence Livermore Lab,5,5184157,2006-07
29,San Francisco,2861,1008423404,2007-08
30,Los Angeles,3281,892205253,2007-08
31,San Diego,2807,834154315,2007-08
32,Berkeley,2006,649244186,2007-08
33,Davis,2813,594776135,2007-08
34,Irvine,1287,334110000,2007-08
35,Santa Barbara,957,194554258,2007-08
36,Lawrence Berkeley Lab,513,149129623,2007-08
37,Santa Cruz,948,135417367,2007-08
38,Riverside,676,104143291,2007-08
39,Office Of The President,39,50299719,2007-08
40,Agr & Nat Resources,223,18553578,2007-08
41,Merced,96,15713938,2007-08
42,Lawrence Livermore Lab,2,1691657,2007-08
43,Los Angeles,3395,966184614,2008-09
44,San Francisco,2786,940293064,2008-09
45,San Diego,2804,889892500,2008-09
46,Berkeley,2100,654923341,2008-09
47,Davis,2965,623464457,2008-09
48,Irvine,1319,323576316,2008-09
49,Santa Barbara,831,174650492,2008-09
50,Lawrence Berkeley Lab,460,131324494,2008-09
51,Santa Cruz,789,124580606,2008-09
52,Riverside,650,89098759,2008-09
53,Office Of The President,28,43876736,2008-09
54,Merced,78,22185757,2008-09
55,Agr & Nat Resources,218,17512328,2008-09
56,San Francisco,3250,1080545671,2009-10
57,San Diego,3253,1067859631,2009-10
58,Los Angeles,3663,1027153609,2009-10
59,Berkeley,2147,755980650,2009-10
60,Davis,3007,697403651,2009-10
61,Irvine,1392,342012926,2009-10
62,Santa Barbara,870,224327056,2009-10
63,Lawrence Berkeley Lab,484,164922273,2009-10
64,Santa Cruz,847,147839725,2009-10
65,Riverside,683,115111640,2009-10
66,Merced,97,19381623,2009-10
67,Office Of The President,24,18374490,2009-10
68,Agr & Nat Resources,218,13885843,2009-10
69,San Francisco,3022,1077097522,2010-11
70,Los Angeles,3556,1069867435,2010-11
71,San Diego,3033,980047496,2010-11
72,Berkeley,2003,733314336,2010-11
73,Davis,2939,693251465,2010-11
74,Irvine,1504,339045540,2010-11
75,Santa Barbara,800,184412889,2010-11
76,Lawrence Berkeley Lab,450,141995622,2010-11
77,Santa Cruz,784,127208522,2010-11
78,Riverside,592,93148893,2010-11
79,Office Of The President,24,19158098,2010-11
80,Merced,84,13598069,2010-11
81,Agr & Nat Resources,307,13389919,2010-11
82,San Diego,3281,1020606258,2011-12
83,Los Angeles,3646,1012050967,2011-12
84,San Francisco,2953,970030102,2011-12
85,Davis,3010,775679436,2011-12
86,Berkeley,1914,732218177,2011-12
87,Irvine,1443,315603606,2011-12
88,Santa Barbara,773,217949054,2011-12
89,Santa Cruz,796,145226569,2011-12
90,Lawrence Berkeley Lab,443,128872975,2011-12
91,Riverside,682,113016259,2011-12
92,Office Of The President,19,29584159,2011-12
93,Agr & Nat Resources,288,18606849,2011-12
94,Merced,64,16870593,2011-12
95,San Francisco,3052,1042891364,2012-13
96,San Diego,3119,1005900967,2012-13
97,Los Angeles,3526,874065700,2012-13
98,Davis,2906,762174735,2012-13
99,Berkeley,1741,730670111,2012-13
100,Irvine,1428,307384888,2012-13
101,Santa Barbara,698,165537822,2012-13
102,Santa Cruz,787,143589831,2012-13
