,title,funder,investigator,abstract,funding_amount_usd,start_year,end_year
0,"High-Fidelity, 2D Noise-Resilient Superconducting Quantum Processors",National Security Agency,to Irfan Siddiqi,"We propose to design, fabricate, and benchmark planar 2D superconducting processors with = 8 qubits and 2-qubit gate fidelities = 0.99. We leverage a toolbox containing submicron Josephson junctions/arrays and high-coherence, passive microwave circuit elements including capacitors, superinductors, and co-planar waveguide resonators. Our approach does not rely on circuit elements for which robust fabrication techniques have not been developed (eg. phase-slip elements and cos(2À) elements) or qubit architectures where a clear route to logical gate operation has not been proven (eg. 0-p or other topological qubits). We adjust the ratios of EJ/EC and EJ/EL to realize two unexplored noise-resilient qubits: The High-Coherence Fluxonium that encodes quantum information in matter and the Multi-Photon Cat where, in the presence of an intense 2-photon microwave drive, information is encoded in photonic degrees of freedom. We have thoroughly simulated both designs and have also fabricated proof-of-concept devices. We will (i) pair these next-generation matter and photonic superconducting 2D circuits with a robust, high-fidelity CZ gate (originally developed for transmons in the HiPS program); (ii) quantify and mitigate decoherence due to dielectric loss and non-equilibrium quasiparticles, integrating our recently demonstrated Q > 5M Nb co-planar resonators into qubit circuits and establishing coherence limits due to these mechanisms; (iii) use charge-sensitive sensor qubits for characterizing correlated quasiparticle errors; (iv) mitigate quasiparticle losses by fabricating circuitry on suspended membranes; (v) use both quantum-information and condensed matter methods to characterize many-body noise processesÑincluding correlated logical errorsÑin a multi-qubit processor; and (vi) execute standard quantum algorithms such as the quantum Fourier transform to validate quantum processor performance. Our integrated theory effort will support and extend these experimental efforts. We will (i) optimize gate performance and qubit lifetimes using machine learning techniques and realistic models of the environmental noise and drive cross-talk; (ii) optimize readout fidelity by accounting for nonidealities such as memory effects and basis hybridization; (iii) characterize and model the environmental noise by mapping its spectral density using correlated sensor-qubit data; and, (iv) study and develop protocols to mitigate sources of dynamical dephasing. For High-Coherence Fluxonium qubits, we will (i) simulate 2-qubit gates with a charge multi-path coupler; (ii) explore implementations of the 2-qubit fSim gate family that includes CZ and iSWAP as special cases; and (iii) design tunable 2-qubit gates that use both charge and flux couplers, as well as multi-path interference. For Multi-Photon Cat qubits, we will (i) model coherence limitations and analyze alternate circuit designs that address those limitations; (ii) design faster, noise-biased single-qubit gates; and, (iii) explore novel interactions suitable for implementing multi-qubit gates. We will also close the loop in the qubit design innovation chain by correlating the following: materials imperfections, measured coherence, logical gate fidelities, measured noise-spectra, and error reconstruction based on quantum verification/validation protocols. This is a fundamental research project that is not expected to produce any developmental items. Should any developmental items result from this work they will have both civilian and military applications.less","11,918,116",2022,2026
0,Continuous Quantum State Tracking and Error correction(CQSTEC),National Security Agency,to Irfan Siddiqi,In this project we will develop a planar chip with multiple superconducting qubits that display long lived quantum coherence and high-fidelity simultaneous readout. In this architecture we will study continuous qubit state monitoring and parity stabilization methods that eventually enable alternative quantum error correction methods.less,"10,245,016",2015,2019
0,"MESS: Model-Building, Exploratory, Social System",Defense Advanced Research Projects Agency,to Alexei Efros,"The scope of this effort is to research the interactions between three different kinds of learning mechanisms to construct computational models of the learning technique and their interactions. In parallel, this effort will research the nature of these learning mechanisms to enhance AI approaches to learning, such as deep learning and classic reinforcement learning.less","9,477,951",2019,2024
0,OPTION 1: Implementation of novel benchmarking and error management protocols in planar transmon processors,National Security Agency,to Irfan Siddiqi,"The proposed research aims at optimizing three types of two-qubit quantum logical gates in a planar superconducting transmon processor: the cross-resonance gate, the geometric phase gate (M¿lmer-S¿rensen Gate), and the controlled phase gate (Zeno gate). The first is implemented via microwave irradiation of one qubit at the excitation frequency of its capacitively coupled neighbor. With improvements in coherence times at the level of 100 ÀÀs and beyond, and quantum control methods to suppress spurious couplings. These improvements will take us from our current value of 93.7% two-qubit gate fidelity to an ultimate operation fidelity of 99.9%. The two other proposed gates are novel circuits which, on the basis of preliminary numerical simulations, are predicted to exhibit raw fidelities in excess of 90%. A research focus is to demonstrate the first realization of these gates, followed by subsequent optimization to achieve fidelities at the 99% level. The geometric phase gate developed is a novel superconducting qubit implementation of the M¿lmer-S¿renson gateÑa work horse in the atomic physics communityÑbased on the generation of cavity mediated coupling between two transmon qubits using additional microwave sideband drive tones, analogous to the laser light induced mechanically mediated coupling of the electronic degrees of freedom of ions in a Paul trap. Finally, using extensions of the quantum Zeno effect, we propose a new controlled phase gate in which the higher levels of the transmon are excited and strongly measured to inhibit certain inter-level transitions, effectively inducing a ""pi"" phase shift on a target two-qubit state. Improvements to superconducting quantum processor hardware include the design and integration of multiple stages of frequency specific Purcell filtering to permit the strong coupling of control lines to qubits, thereby minimizing crosstalk, without a significant increase in environment induced decoherence. Additionally, quasiparticle reduction techniques based on engineering the on-chip phonon density of states will be incorporated into multi-qubit chips. These designs modifications will be co-introduced with materials improvements targeting the removal and passivation of lossy surface dielectric layers introduced at each step of the qubit fabrication process. To further enhance performance, quantum control methods to (i) optimize drive pulses utilizing gradient based routines and machine learning algorithms, (ii) suppress crosstalk and spurious operating frequency shifts using dynamical decoupling sequences, and (iii) randomly compile gate sequences to suppress coherent errors will be developed and implemented. Finally, to diagnose the performance of the quantum processes described, extensions of randomized benchmarking techniques which yield information about specific noise models and consider coherent and non-Markovian effects are proposed for evaluation. In addition to these projective measurement based routines, simultaneous, continuous measurements of two coupled qubits will be performed to diagnose the onset of gate infidelity, particularly targeting correlated errors.less","5,019,212",2018,2022
0,Design Rules of Monolayer Composite Thin Films As Catalytic Protective Barriers,Defense Threat Reduction Agency,to Ting Xu,"Although it is reasonable to extrapolate that diversifying RHP sidechain chemistry in a controlled manner may lead to catalytically active membranes as barrier layer for PPEs against CWA, there are many unanswered questions. There are clear needs to develop insights of RHPs at various length scales and time scales once adsorbed onto the porous particles and form a monolayer membrane and characterize the phase behavior of RHP-covered nanoparticles. It is also important to understand their 2-D self-assembly and correlate with the macroscopic properties including catalytic activity, gas permeability and mechanical properties. Here, we assemble a team with complementary expertise in RHP-covered nanoparticles, MOF nanocrystal synthesis and mixed matrix membrane, computation, quantification of mechanical properties of RHP-MOF monolayer membranes, and structural characterization.less","2,500,000",2021,2026
0,Rational Design of Statistical Heteropolymers as Biomimetic Enzymes and Binders,Defense Threat Reduction Agency,to Ting Xu,"Chemical and biological warfare agents (CBWAs) pose a severe safety threat to mankind. Due to their extreme toxicity at ultra-low concentration, high sensitivity/selectivity detection and on-demand neutralization without transportation and minimal handling are particularly important yet challenging. Bioremediation using bacteria, protein binders and enzymes are proven effective, but are not suitable for in-field application due to poor stability. Recently, we demonstrated that by encoding statistic pattern of monomer distribution in random heteropolymers (RHPs), it is feasible to generate polymers mimicking intrinsically disordered proteins (IDPs). RHPs succeed in stabilizing proteins in non-native environment, assisting protein folding during translation, and fabrication of enzyme-containing fabrics for in-field organophosphorus degradation in both aqueous and organic solvents. In nature, abundant IDPs are found to catalyze reactions and bind substrate for signal transduction. Here, our Berkeley/MIT joint team proposes a synergized experiment/computation effort toward iterative design of RHPs capable of catalyzing and selectively binding toxin molecules in both aqueous and organic solvents.less","2,484,465",2019,2024
0,Real-time Multimedia Communications in Highly Mobile Networks.,United States Department of the Navy,to Anthony Mulligan,"Based on the success demonstrated in the Phase I programs, this Phase II program will transition AINS technology developed in the universities into various compelling demonstrations that demonstrate the robust advantages of AINS. In the four Phase Iprograms we were able to perform significant initial AINS technologyless","1,981,567",2002,2003
0,Program on Security Institutions and Violent Instability,Office of the Secretary of Defense,to Leonardo Arriola,"Abstract: Developing countries around the world increasingly face violent irregular threats in the form of insurgency and terrorism. Many developing countries, however, have proven unable to effectively deploy their security institutions, military and civilian, in responding to those threats. The problem for U.S. policymakers and military planners is that existing research cannot explain much of the cross-national variation in the performance of security institutions in tackling violent irregular threats. The Program on Security Institutions and Violent Instability seeks to advance our understanding of how the design of security institutions (e.g., military, police, paramilitary, militia) can affect the capacity of countries to combat violent irregular threats. We specifically propose to assess how the institutional features of state security forces, including structure factors (such as inter-service coordination rules) and system factors (such as promotion policies), shape their ability to undertake sustained counterinsurgency and counterterrorism campaigns. We will examine how such institutional differences influence whether countries can deter the onset of violent irregular threats, defeat existing violent groups, reduce the number of civilian and combatant deaths, and increase the duration of periods without violent activity. The Program on Security Institutions and Violent Instability will pursue its research objectives through a multi-method approach. First, we propose to assemble and statistically analyze a cross-national Domestic Security Institutions (DSI) database with systematically coded information on security institutions and their inter-service relationships. Second, we propose to produce paired case studies of six countries that share a common set of threats, but exhibit considerable variation in their success combating those threats: Colombia and Mexico; Ethiopia and Nigeria; and Burma/Myanmar and the Philippines. Third, we propose to conduct a survey of security personnel in the Philippines, where multiple types of security institutions have been employed in combatting insurgency and terrorism with varying degrees of success. This study will have direct implications for U.S. defense missions across command regions and across services. By accounting empirically for differences in the performance of critical security institutions, this project will contribute to the development of objective diagnostic metrics for anticipating how partner countries, particularly in fragile and transitional states, might respond to the outbreak of insurgency or the emergence of a terrorist network within its borders. Additionally, the data and analysis generated by this project will enable policymakers and military planners to better target security sector assistance and reform programs to the institutions within partner countries most likely to respond positively.less","1,836,044",2017,2020
0,Fiber-laser based Mobile Atom Sensor (FiMAS),United States Department of the Air Force,to Richard Parker,"Environmental structures of interest like mountains, tunnels, and deposits of minerals, oil or gas produce distortions in the local gravitational field. Sensing gravity anomalies and comparing them to a gravity map can provide positioning immune to theless","1,499,986",2021,2022
0,Probabilistic and Relational Inferences in Dynamic Environments (PRIDE),Defense Advanced Research Projects Agency,to Avi Pfeffer,"Uncertainty on the modern battlefield makes mission planning and decision making extremely complex for field commanders. Mission planners can be aided by initial and ongoing situation assessment, future state estimation, assessment of the current plan""s probability of success, what-if analysis, and suggestions for decisions. At present, few automated tools exist to provide mission planners with the required information. An automated tool to assist mission planners must deal with both the inherent uncertainty and the complexity of the situation. Charles River Analytics proposes a system for Probabilistic and Relational Inferences in Dynamic Environments (PRIDE), an approach based on probabilistic relational models (PRMs). PRMs use probabilities to handle uncertainty while capturing the logical and relational structure of a situation to handle complexity. We base our implementation of PRMs on probabilistic programming (PP), which provides a powerful and flexible way to represent probabilistic models using the power of programming languages. We propose to design and develop a full-fledged prototype of our PRM and PP engine, to design and develop temporal reasoning capabilities, and to design and develop decision-theoretic reasoning capabilities.less","1,499,383",2011,2011
