,title,funder,investigator,abstract,funding_amount_usd,start_year,end_year
0,SCI: Bridging the Gap with Biological and Electronic Systems,Defense Advanced Research Projects Agency,to Karen Moxon,"This effort aims to dramatically improve the functional trajectory of individuals with spinal cord injury (SCI) through a multi-stage repair strategy that covers the acute-subacute-chronic care continuum with synergistic therapeutic approaches unique to this effort: i) a near-infrared spectrometry sensor that interrogates the SCI penumbra to enable neuroprotection and stabilization of the cord acutely, (ii) a neural stem cell/scaffold graft that promotes regeneration to bridge the gap subacutely & chronically, and (iii) neurotechnologies for closed-loop control of targeted electrical spinal stimulation (TESS) that mimics the physiological activation of spinal circuits to mediate functional recovery in the chronic phase.less","36,482,956",2020,2025
0,A Computational Cognitive Neuroscience Approach to Understanding Event Representation and Episodic Memory,United States Department of the Navy,to Charan Ranganath,"A Computational Cognitive Neuroscience Approach to Understanding Event Representation and Episodic Memory~ (Charan Ranganath, PI) to"""" ONR MURI program, Topic 12 ~ Event Representation and Episodic Memory. Total costs are estimated at $7,500,000.00 over 5 years with"""" 3-year base period of $4,500,000 and 2-year option period of $3,000,000. Memory for specific events (~episodic memory~) and knowl""edge accrued across multiple events (~event schemas~) play powerful roles in human cognition. Neuroscience research has strongly lin""ked these abilities to interactions between the hippocampus, ventromedial prefrontal cortex (vmPFC), and a posterior medial (PM) neo""cortical network. Gaining a mechanistic understanding of the neural processes that support representation of event schemas and episodic memory could be of enormous significance to basic neuroscience. Achieving this goal would have significant implications for DOD"" capabilities, such as the development of autonomous systems capable of rapid extraction of information about temporal and spatial r""""elations, causality, and intentionality from complex data streams. At present, however, there is insufficient knowledge about how ev""""ents are segmented, learned, and retrieved in the human brain, and the field lacks an appropriate computational framework to explain"""" existing data. To address these challenges, we propose an integrative computational cognitive neuroscience approach to understandin""g event representation and episodic memory.The centerpiece of this project is an innovative neurocomputational framework called St""ructured Event Memory (SEM). SEM integrates the strengths of three different, but related, approaches~Latent Cause Models, Event Seg""""mentation Theory, and the Complementary Learning Systems Model~to explain how interactions between the hippocampus, vmPFC, and PM ne""""twork support event representation and episodic memory. The architecture of SEM is scalable, it is meaningfully tied to neural mecha""""nisms, and it provides a principled and parsimonious account of a diverse range of processes, including: schema formation, event seg""""mentation, context in memory and language, episodic memory encoding, consolidation, retrieval, and updating, prediction, and mental"""" simulation. SEM is especially innovative in that it is designed to learn about the structure of the world, in terms of temporal, ca""""usal, and situational relationships within an event, and in terms of the characteristic transitions between different kinds of event""""s. Building on our initial work, we will accomplish the following Tasks: (1) Develop a computational model of event representation a""""nd episodic memory. (S. Gershman, Harvard), (2) Specify the neural mechanisms that support learning and application of semantic know""""ledge about events. (K. Norman, U. Hasson, Princeton), (3) Specify how corticohippocampal interactions support episodic memory retri""""eval and consolidation. (C. Ranganath, UC Davis), (4) Specify the cognitive and neural causes and consequences of event segmentation"""" (J. Zacks, Washington University), & (5) Determine how broadband and oscillatory neural activity contributes to event segmentation"""" and episodic memory (Orrin Devinsky, NYU, in collaboration with all team members).By addressing fundamental questions about how e""""vent segmentation shapes the structure of semantic and episodic memory, and how the hippocampus interacts with neocortical networks,"""" the proposed empirical studies go well beyond the current state of the art. Moreover, by utilizing novel data-driven machine learni""""ng analysis approaches and theory-driven forward modeling of neuroimaging and electrocorticography data, every study in this project"""" will break new methodological ground. At the end of the five-year period, we will deliver an integrated computational architecture"""" that can translate in any direction between complex narrative or video stimuli, real-time brain activity patterns, and meaningful cless","7,500,000",2017,2020
0,High-Power Multispectral Hemispherical Phased Array Beam Steering Subsystems Demonstrator,United States Department of the Navy,to S.J. Ben Yoo,"ABSTRACT: We propose to investigate and demonstrate an innovative high-power, multi-spectral, non-mechanical steering subsystem ena""bled by a combination of high-power MWIR and LWIR quantum cascade laser (QCL) and amplifier (QCA) arrays and a multi-spectral phase-array beam steering module on a single silicon platform. The proposed subsystem demonstrator (SSD) includes three spectral bands wit""h tunable wavelengths: MWIR1 (e.g. 3.4-3.8 micron), MWIR2 (e.g. 4.5-4.6 micron), and LWIR (e.g. 9.0-10.6 micron). At the onset of th""""e project, specific wavelengths within each band can be selected by the Sponsor. The proposed SSD driven by the control electronics"""" interfacing with the innovative active-matrix-array 3D photonic-electronic phase array (3D PEPA) allows the pointing, steering, and"""" tracking of a remote object with all three wavelength bands with high beam quality M2 below 1.3, power (above 30 Watts of combined"""" power), and stability. The high-resolution and high-precision 3D PEPA with integrated thin-film transistors (TFT) realized on CMOS-""compatible fabrication processes allow sidelobe-free and hemispheric (180 degree total-field-of-view in all directions) beam steering by independent matrix control of pixels. The SSD realized on a single silicon platform with equal-path lengths allows agile tuning of the emission wavelengths of QCLs while supporting accurate and stable pointing under challenging ambient and vibration condition""s. The proposed new capability addresses increased combat effectiveness for all aerial vehicles, manned and unmanned, by providing a"""" conformal optical system required for search, track, dazzle, and jam. Additionally, this new technology addresses naval capability"""" to control or to attack multi EW spectrum with rapid, accurate, and agile point-and-steer of multi EW spectrum laser beams. The pro""posed project will develop very compact phased array optical beam steering technologies that will allow coherent energy spanning multiple bands of the MWIR and LWIR spectrum to be directed in a low divergence beam with minimal or no side lobes over an angular rang""e coveringa complete hemisphere. The proposed phase array beam steering technology covers very fast (ms), small (28 cc), and emits"" high optical power levels (above 30 W total combined power). We will first test the prototyped SSD in the emulated lab environment at a collaborating laboratory with temperature variations and vibrations applied to the SSD. The laboratory prototype will be adapted into existing MWIR active sensing system used for surface and air antisubmarine warfare (ASW) applications. To minimize any di""stortions to the launched beam due toatmospheric effects and ensure the desired underwater acoustic EA effects can be generated, th""""e prototype will be initially tested from a surface ship. Once the desired acoustic EA effects are demonstrated, the prototype will"" be incorporated into a flight-ruggedized package and field tested in realistic maritime environment on board a rotary wing platform. The warfighter payoffs the proposed project includes (a) increased combat effectiveness for all manned or unmanned aerial vehi""cles or surface ships by providing a conformal optical system required for EA (search, track, dazzle, and jam) in such applications"""" as Infrared Countermeasure (IRCM) or Directional Infrared Countermeasure (DIRCM), counter-ISR against MWIR/LWIR passive or active i""maging; as well as in active (acoustic) sensing in air ASW applications; (b)enhances Naval capability to control or to attack multi""-EW spectrum with rapid, accurate, and agile point-and-steer of multi-EW spectrum laser beams; (c) expands mission capabilities to s""""imultaneous access to multiple spectral bands, extends range and time over target, increases platform survivability, supports faster"""" response to targets, reduces sensitivity to vibrations andtemperature variations.less","3,000,000",2017,2021
0,Driving Research and Leadership in Buildings and Transportation Efficiency,United States Department of the Navy,to Benjamin Finkelor,"Project AbstractDriving Research and Leadership in Buildings and Transportation EfficiencyProposal by the University of California"", DavisIn response to Office of Naval Research~s Broad Agency Announcement # N00014-17-S-B001. In response to the Office of Naval"""" Research~ (ONR) Broad Agency Announcement (BAA) #N00014-17-S-B001, the University of California, Davis, through the Energy Efficien""""cy Center (EEC) and its affiliated research centers, submits the following proposal for consideration.The EEC and its affiliated re""""search centers, faculty, and researchers are at the forefront of basic and applied research in the areas of energy efficiency techno""""logies and solutions. In addition to advancing research, the EEC fosters a collaborative, multi-disciplinary environment to empower"" the well-roundedprofessional development of both graduate and undergraduate students. By actively engaging students on funded rese""arch projects, and having them go through various professional development programs, thecenters have become a launching pad for the"" careers of many researchers and professionals in the energyand transportation sectors.The portfolio of work proposed in this submission fall broadly into three categories:1. Energy Efficiency Technology and Solutions Research: The goal of this category of work is tofurther research on energy efficiency technologies and solutions in the building and transportationsectors with a focus on their applicability to the military in reducing inefficiencies and improvingoperational capabilities;2. Academic and Professional D""evelopment Opportunities for Military Students: The goal of thiscategory of work is to provide students ~ prospective, current, and"" former military personnel aswell as military dependents in particular ~ with academic and professional developmentopportunities by actively engaging them in the ONR funded research as well as other relatedprojects; and3. Military Student Programs and Services: The goal of this work is to strengthen support services tothe campus~s military students as well as regionally through targeted o""utreach, coursework, andadditional professional development opportunities.The five specific research projects included in this pro""posal for consideration will include:1. Portfolio-Level Energy Performance and Fault Detection Cloud-Based Software Platform2. Creating an Embedded Building Sensory System3. Military Base Microgrid Optimization4. Plug-in Electric Vehicle Decision Making Data Based Tools5. Microchannel Heat Exchangers Designs for Power Generation and CoolingEach project will build on the existing research"" and experience of the respective participating centers andwill generate tools, technologies, and insights that will help the milit""ary improve efficiency as a means tobetter achieve its mission. The project teams will actively endeavor to recruit student researc""h assistantsfrom the University~s military student community. In addition, the EEC will take a leading role inexpanding and streng""""thening leadership, professional development, and academic services to militarystudents on the UC Davis campus and beyond.less","2,999,387",2017,2020
0,Glycan Modulation of Pharmaceutical Glycoproteins by In Vitro Enzymatic Approaches,Defense Threat Reduction Agency,to KarenAnn McDonald,"Many therapeutic proteins are glycoproteins which are proteins that have chains of sugars (i.e. glycans) attached to them at specific sites in a process known as glycosylation. The structure and distribution of glycans on pharmaceutical glycoproteins have a dramatic effect on their efficacy, safety, immunogenicity, and stability. In this project, therapeutic glycoproteins that are known to act as protective bioscavengers against chemical and biological toxins are produced recombinantly in plant-based production systems. Plant cells, as higher eukaryotes, can glycosylate proteins and the initial steps are identical between humans and plants. In addition, they do not harbor or propagate mammalian pathogens. Furthermore, plants can be cultured in mass scales. They are ideal expression systems for the low-cost and large-scale production of glycoproteins that are important for counteracting weapons of mass destruction, particularly chemical and biological agents. The goals of this project are to develop novel methods for the production of two bioscavenger glycoproteins, human butyrylcholinesterase (BuChE), a bioscavenger for organophosphorus (OP) nerve agents, and a chimeric anthrax antitoxin (CGM2-Fc), with improved efficacy against their binding targets by altering the glycan structures that are attached to the proteins. BuChE is produced in transgenic rice cell culture bioreactors and CGM2-Fc is produced transiently in tobacco plants in an indoor facility. Following production and purification of the bioscavengers, advanced analytical tools (liquid chromatography and mass spectrometry) are used to determine precise glycan structures at each site. In vitro enzymatic processes are then used to modify the glycan structures, while computer modeling using atomistic molecular dynamic simulations and coarse grain modeling approaches predicts the effects of glycan structures on glycoprotein structure and target binding energy and is used to direct the glycan modification studies. Finally, experimental studies are used to test the efficacy of the various therapeutic bioscavenger glycoforms (including target binding rate constants, dissociation rates, thermodynamic parameters of interaction, pharmacokinetics and challenge studies). Improved fundamental understanding of how the glycan structures impact binding efficiency for therapeutic bioscavengers will allow us to design protective bioscavengers with improved efficacy. This project will provide fundamental understanding of the structure-function relationship of glycans on glycoprotein therapeutics, and supply technologies for large-scale production of glycoproteins in plants and in vitro enzymatic modification of glycans on glycoproteins. Improved therapeutics may be discovered and the approach is generalizable to other bioscavenger glycoproteins.less","2,917,016",2015,2020
0,Dynamic Cortico-Hippocampal Interactions for Flexible Goal-Driven Agents,United States Department of the Navy,to Randall O'Reilly,"How does the human brain enable us to flexibly adapt to novel situations, applying hard-won prior experience in ways that apply to new challenges? Current AI systems continue to fail at capturing this central feature of human intelligence. We propose to leverage our extensive understanding of the neural organization of the human brain to suggest novel solutions to thisperennial challenge, using a synergistic combination of biologically-based computational models and cutting-edge neuroimaging techniques, including intracranial recordings and fMRI. Our approach involves four central hypotheses: 1) The brain learns and processes structure separate from content , along separate neural pathways. This enables abstract structural representations tobe flexibly recombined with novel content, while transferring structural inferences and implications to these novel domains. 2) Predictive learning can learn an abstract structural forward model of how events unfold over time (i.e., a situation model ), providing a biologically plausible mechanism for how the neural mechanisms that enable flexible behavior are generated. 3) The ability to direct behavior toward desired outcomes and goals requires the ability to reversethis model and figure out the actions required to achieve those goals. The hippocampus can help solve this problem by encoding the overarching situation model that led to a given outcome, and then later recalling that situation model for use as a plan to guide behavior toward that outcome, when it is desired again. This suggests a novel type of strategic control over hippocampalencoding and recall, and a critical role for episodic memory in enabling flexible human behavior. 4) The prefrontal cortex can robustly maintain abstract plans to guide behavior, based on representations learned through longer-timescale predictive learning. Each of these hypotheses has existing empirical and computational support, but this project is the first to put all of these elements together in a way that can finally make significant progress toward understandingflexible goal-driven human behavior.less","2,250,000",2020,2023
0,EXPLOR - EXPEDITION ON BRAIN-DERIVED NEUROMORPHIC COMPUTING WITH INTELLIGENT PHOTONIC AND ELECTRONIC MATERIALS,United States Air Force,to S. J. BEN YOO,"We propose to launch a new project titled Expedition on Brain-Derived Neuromorphic Computing with Intelligent Photonic and Electronic Materials (ExPlor). The ExPlor project investigates brain-derived biophysical principles and algorithms applied in a hierarchical network of spiking optoelectronic (macro-circuits) and electronic (micro-circuits) neural networks, including emerging concepts in nanoscale dendrite computing (nano-circuits), synaptic stochasticity, and self-learning.less","1,900,000",2022,2027
0,The effect of shocks on overlapping and functionally interacting social and political networks: A multi-method approach,United States Department of the Army,to Zeev Maoz,1. To develop models of interacting social and political networks. 2. To develop agent-based models of the effect of shocks on interacting networks. 3. To develop a real-time shock monitoring system based on event-data 4. To test models on empirical data using social and political networks. 5. To test models of shock propagation in networks via social interaction experiments with human subjects.less,"1,673,347",2015,2019
0,THIS IS A CONTINUATION OF N000141510033 Decoding and Enhancing Neural Mechanisms for Episodic Memory,United States Department of the Navy,to Charan Ranganath,"Research on learning and memory is fundamental to understanding cognition and directlyrelevant to the training of military personnel and to the diagnosis and rehabilitation of injuredsoldiers. Functional magnetic resonance imaging (fMRI) studies of memory have identified acortico-hippocampal network that is critical for remembering past events. Recent evidenceindicates that regions in this network generate rhythmic electrophysiological oscillations in thetheta band (4-8 Hz), and that theta oscillations may be related to cognitive states that promotesuccessful memory retrieval. The objective of this project is to use three empirically motivatedmethods to manipulate theta activity and determine effects on memory and on recruitment ofbrain networks measured with electroencephalography (EEG) and fMRI. Rhythmic sensorystimulation (Aim 1), transcranial alternating current stimulation (Aim 2), and reward motivation(Aim 3) will be used to manipulate theta activity during memory retrieval tasks. EEG studies willdetermine how theta enhancement affects the magnitude and timing of theta activity duringmemory retrieval, and fMRI studies will determine effects on recruitment of the corticohippocampalnetwork. We will also use advanced multivariate analysis techniques to decodehow information about past episodes is represented in neural activity patterns and test whethertheta enhancement sharpens these representations. This project will advance basic science bydirectly connecting neural oscillations, which are currently poorly understood, to specificcognitive processes and to activity in a cortico-hippocampal network that is thought to play acrucial role in episodic memory. Moreover, the proposed studies can lead to the development ofnovel biomarkers for memory function and dysfunction (e.g., to assess service-connectedcognitive impairment) and of systems for accelerating learning (e.g., in training situations) andrehabilitating memory (e.g., in injured soldiers). The work can also contribute to thedevelopment of memory-guided brain-computer interface technologies.less","1,604,473",2016,2017
0,Revolutionary Airlift Innovation,Defense Advanced Research Projects Agency,to USN (r Marti Sarigul-Klijn,"We propose to mature LG-X glider technology by manufacturing full-scaled prototypes and characterizing them in land-based flight-testing by using commercial aircraft to drop the gliders. Validated components such as the landing parachute, folding wing mechanism, and autopilot control system will undergo integrated flight-testing. Logistic Gliders will provide a considerable cost share to support the flight tests. The LG-X glider system is a low-cost, single-use, autonomous, glider-based naval Ship to Objective Mission (STOM) logistic resupply system. An amphibious ships Air Combat Element can launch 50 gliders an hour because the MV-22 and CH-53 can carry multiple gliders simultaneously. Multiple gliders can also be carried by the KC-130, C-17, and CH-47. The LG-X glider is capable of improving throughput and throughput/cost, increasing mission radius, and reducing cost/distance while operating in time constrained scenarios and in all-weather environments without requiring air base infrastructures or air superiority. The LG-X glider can deliver sea-based supplies to several groups of Marines located at widely separated points of need without further burdening the units or telegraphing their location. Our Phase II proposal also includes obtaining the necessary approvals and flight clearances to allow LG-X deployment from military aircraft onto military test ranges.less","1,509,932",2016,2018
