,title,funder,investigator,abstract,funding_amount_usd,start_year,end_year
0,Fast and Modular Spin Qubit Arrays (FMSpins),National Security Agency,to Jason Petta,"Semiconductor spin qubits have satisfied the DiVincenzo criteria for scalable quantum computing. Several research groups have recently demonstrated high-fidelity spin state initialization, readout, single-qubit and two-qubit control. This research program is focused on demonstrating fast control and readout of spin qubit arrays, as well as developing a modular spin qubit architecture, wherein two spatially separated two-qubit modules are coherently coupled through a quantum interconnect. Several promising approaches exist for long-range coupling of spin qubits, including exchange coupling through large intermediary quantum dots, circuit quantum electrodynamics (cQED), and the physical transfer of spin-based quantum information through charge shuttling. We will demonstrate coherent coupling of two or more two-qubit modules using spin shuttling. In parallel, the theory team will estimate the fidelity of various spin transfer protocols that are based on cQED. The theory team will also develop quantum characterization verification and validation (QCVV) protocols that can be applied to characterize the overall fidelity of our modular spin qubit architecture. In the area of quantum control and readout, the research team has two major objectives. The first is to build upon recent gains in single- and two-qubit control fidelities through fundamental investigations of the fidelity-limiting mechanisms. Current bottlenecks are limitations in the maximum Rabi frequency that can be achieved with electric dipole spin resonance, crosstalk during single qubit control due to microwave cross-coupling and residual exchange, limited dynamic range of the exchange coupling, and slow gate calibration times. A second objective is to develop cutting-edge quantum control and readout protocols that have the potential to greatly reduce the required qubit drive times and powers, significantly reduce the readout time, and enable multiplexed readout of spin qubit arrays. The team will focus on implementations involving Loss-DiVincenzo (LD) spin qubits, where quantum information is encoded in the spin of a single electron. LD qubits are generally controlled using electric dipole spin resonance (EDSR) in a magnetic field gradient and coherently coupled using the exchange interaction. While impressive progress has been made in controlling LD qubits with high fidelity, most demonstrations involve just single or two-qubit devices. Our team has been at the forefront of efforts to develop scalable semiconductor quantum devices, including pioneering demonstrations of resonant two-qubit gates, as well as spin coupling and readout using cQED.less","7,705,307",2023,2027
0,"Understanding Scenes and Events through Joint Parsing, Cognitive Reasoning and Lifelong Learning",United States Department of the Navy,to Song-Chun Zhu,"Project Summary Problem Statement The goal of this MURI team is to develop machines that have the following capabilities: i) Achieve deep understanding of scenes and events through joint parsing and cognitive reasoning about appearance, geometry, functions, physics, causality, intents and belief of agents, and use joint and long-ranged reasoning to fill the performance gap with human vision; ii) Represent visual knowledge in probabilistic compositional models across the spatial, temporal, and causal hierarchies augmented with rich relations, which are task-oriented, support efficient task-dependent inference from an agentÕs perspective, and preserve uncertainties; iii) Acquire massive visual commonsense through web scale continuous lifelong learning from heterogeneous sources through weakly supervised HCI and dialogue with humans; and iv) Understand human needs and values to interact with humans effectively and answer human queries about what, who, where, when, why and how in storylines through Turing tests. Technical Approach We take a multi-disciplinary approach that integrates four areas illustrated by the four layers: (a) Psychology and cognitive experiments; (b) knowledge representation; (c) lifelong learning; and (d) computer vision tasks in an inference engine. The four areas will be studied in tight loops shown by the arrows in 3 colors. Human experiments bring new paradigms to transform computer vision and machine learning; and the latter drive human experiments to probe the brain mechanisms for representation, inference and learning. Each area consists of a spectrum of tasks which we organize in three levels of increasing depth and complexity: (i) Categorical recognition; (ii) joint parsing; (iii) Cognitive reasoning. We have assembled a multidisciplinary team from both the US and UK to achieve our goals, including: Experimental psychology and cognition, computer vision and learning, Cognitive and mathematical modeling. Outcome and Impact Our proposed research tackles challenges of pressing importance in the following DoD missions. 1) Persistent surveillance with ground and aerial sensors. Our approach will achieve deep understanding, generate narrative text descriptions, and answer human queries. 2) Web scale commonsense knowledge acquisition and information gathering. We will expand our lifelong learning engine to discover visual and common sense knowledge from heterogeneous sources on the web, organize them into deep structured knowledge on a unified graphical representation. This will fill the semantic gaps, overcome the shortcomings of machine learning approaches. 3) Robot autonomy and situation awareness. We will develop task-oriented representations and learning, so that machines understand the underlying physics, causal-effects, functionality of objects, the use of tools, and human intents, needs and values. This will improve robot autonomy in civil and military tasks in collaboration with humans.less","7,550,262",2015,2017
0,fundamental studies of nonlinear optics and laser-phenomena in gases and solids using high-power lwir lasers,United States Department of the Navy,to Chan Joshi,"This is a 3+2=5 years (requested funds 4.5M+3.0M=7.5M) ONR MURIproposal, entitled ~Fundamental Studies of Nonlinear Optics and Lase""""r-plasma Phenomena inGases and Solids Using High-Power LWIR Lasers~. The main goal of the project is to explorethrough experiment,"" theory and simulations basic physics of laser-matter/plasma interactions inthe LWIR region at intensities of 1-100 TW/cm2using pic""osecond, multiterawatt power andsubpicosecond, multigigawatt power lasers while doing innovative research on developing highpeak a""nd average power laser sources in the 8-12 ~m wavelength range. The former willinvestigate nonlinear optics and laser-plasma physics in the long wavelength limit relevant tofilamentation in air while the latter will explore the main elements of a compact high-en""ergy allsolid-state LWIR OPA system. The MURI team, led by PI Prof. Chan Joshi from UCLA,includes University of Michigan, Universi""""ty of Maryland, University of Arizona, University ofCentral Florida-CREOL, and State University of New York at Stony Brook ~SUNY.N""""onlinear Optics. We have recently measured for the first time nonlinear refractive index,less","7,500,000",2017,2020
0,Magnetoelectrics and Spinorbitronics in Topological Heterostructures and Superlattices,United States Department of the Army,to Kang Wang,"The objective of the proposed research is, through theory and experiment, to achieve atomic level understanding of interfacial spin-orbit-coupling (SOC) and exchange coupling of magnetic topological insulator (TI) heterostructures and superlattices and to discover new phenomena that are critical not only for fundamental science but also for enabling energy efficient DoDÕs applications such as spintronics. In particular, the research will strive to uncover new physics emerging from: (1) the interplay of topological surface states of TIs with ferromagnets (FMs) and anti-ferromagnets (AFMs); (2) topological valley coupling as well as nanostructure-created pseudo local magnetic field in graphene and other 2D materials when coupled with TIs; (3) axion electrodynamics and emerging physics in TI-based heterostructures. The proposed research will plan to: (1) engineer strongly SOC materials by growing several different kinds of heterostructures and superlattices containing TI/nonTI, TI/AFM, TI/FM and TI/TMD interfaces in various combinations; (2) pattern the films into various structures to explore the SOC-enabled new physics and effects. The proposed research activities will be organized into 4 thrusts around SOC materials: (1) Synthesizing and patterning SOC heterostructures and superlattices using TI/nonTI and 2D materials; (2) Spin textures, spin-orbit torques and THz spin-dynamics; (3) Spin-valley- tronics; (4) Axion electrodynamics & other emerging physics and devices.less","6,250,000",2016,2021
0,Dissecting microbiome-gut-brain circuits for microbial modulation of host cognition in response to diet and stress,United States Department of the Army,to Elaine Hsiao,"Mammals are comprised of trillions of microorganisms, together called the microbiome, that respond to environmental factors, such as diet and stress, and have the remarkable capacity to modulate host brain activity and behavior. Despite increasing evidence that the gut microbiome influences brain development and function, the molecular mechanisms that enable microbiota-gut-brain interactions remain unclear. Fundamental principles are lacking for how complex microbial communities develop and respond to external stimuli, and unified models are needed to map the dynamic microbial, enteric, metabolic, immune and neural signaling networks that comprise the microbiota-gut-brain axis. To address this need, we will investigate how the gut microbiome alters cognitive sensorimotor and spatial learning behavior in response to variations in dietary fat: carbohydrate intake and exposure to oxygen deprivation stress. Technical Approaches. We will conduct controlled gnotobiotic and microfluidic experiments to determine how the microbiome is altered as a function of fat: carbohydrate intake and physical hypoxic stress and to uncover how these microbiome changes causally impact host physiology. These experimental data will be used to develop a multilayered mathematical model of the microbiome-gut-brain axis that examines system architecture, performance, sensitivity and robustness. Altogether, the proposed project integrates advances in functional genomics, microfluidics, gnotobiotics, metabolic modeling, optogenetics, and control theory. Anticipated Outcome: Through iterative in vivo, in vitro and in silico experiments, with cross-referenced testing of predictions across experimental systems, we will extract fundamental biological insights for i) how nutrition and physical stress modify microbial community structure and function, ii) how microbial products biotransformed through the gastrointestinal tract modulate metabolic, immune and vagal signaling, and iii) how metabolic, immune and vagal activity determine cognitive performance. Impact on DoD Capabilities: The mathematical models we develop would enable predictions of microbiome, immune, metabolic, vagal and behavioral responses based on quantitative inputs of dietary fat vs. carbohydrate intake and physical stress (oxygen) levels. This could inform cognitive and physiological performance of individuals based on diet and stress.less","6,249,215",2017,2022
0,"Synergistic Software Customization: Framework, Algorithms, Tools",United States Department of the Navy,to Miryung Kim,"Problem: Object-oriented languages such as C++, C#, and Java have brought us software libraries that are large, well tested, and eas""""y to use. As programmers continue to develop layers of useful libraries, the security and efficiency of application software decreas""e. The problem is that the massive libraries usually add complexity to even simple tasks and increase attack surfaces.Objective: Th""e goal of our project is to show how we can address the security and inefficiency problems with novel, automatic software tools. Our"""" tools will remove little used functionality, decrease run-time bloat, and specialize libraries to what is actually used. A unique s""""trength of our project is that we will actively leverage the synergy between the three research thrusts on functionality reduction,"""" de-bloating, and de-layering.Approach:On functionality reduction (FR), our goal is to select features and code regions to be remo""ved from applications and underlying libraries. In order not to require any kinds of human effort in tagging features or functionali""ty, we propose a completely automated approach to detect (1) unused functionality by finding never-invoked APIs or discovering defac""""touse of the interfaces, (2) inefficient objects by determining which faster performing type could replace a slower performing type"""", and (3) redundant program logic evidenced by code duplication in binaries. On de-bloating (DB), our goal is to permanently and sta""tically remove the unnecessary features and code regions. We propose a set of static techniques that merge functionalities of related types with the goal of removing unnecessary types and propose an automated clone removal technique that factorizes redundant code"" in bytecode. On de-layering (DL), our goal is toreduce indirections and layers of abstractions through static inlining and partial"""" evaluation. Our specializationtechnique will remove redundant features, partially evaluate generic code, and change allocation sit""es to use the fastest-performing type. The proposed work builds on the PIs~ foundational work on runtime bloat detection and removal"", code clone analysis and removal, and type-safe inlining. We see tremendous potential for the synergy across the above three resear""ch thrusts. We will design a synergistic approach where the results of one thrust are actively fedto the other two thrusts. As a re""sult, we will produce a single, completely automated, integrated, end-user friendly infrastructure that combines the three thrusts.""""Mission/Relevance: As software development has evolved, additional layers of abstraction have been continually added resulting in in""creased complexity and inefficiencies. The research integrates well with an important thrust within ONR~s cyber research program to perform late-stage software transformation to de-bloat and de-layer the exceedingly complex modern software. This research will contribute to ONR~s vision of building a transformative ecosystem for bloat-free software with reduced attack surfaces.less","4,924,195",2017,2022
0,Brain Inspired Networks for Multifunctional Intelligent Systems in Aerial Vehicles,United States Air Force,to Yong Chen,"Computers have led to an information revolution and artificial intelligent systems that simulate the learning functions of the human brain. The world’s fastest supercomputer, Summit, may have a computing capacity comparable to that of the human brain. However, Summit consumes the equivalent power of 7000 homes (~15 MW), and the brain only consumes a power of a light bulb (~20 W). Computers execute algorithms on physically separated logic and memory units in digital serial mode, which fundamentally restrains computers from handling “big data” efficiently in complex dynamic environments, and limits the developments of emerging intelligent systems such as self piloted unmanned aerial vehicles (UAVs). By contrast, the brain simultaneously processes and learns from “big data” via trillions of synapses and neurons in analog parallel mode, and facilitates parallel processing and real time learning with an energy efficiency more than five orders of magnitude superior to that of the supercomputer. The proposed study intends to perform research on devices including synaptic resistors (synstors), memory resistors (memristors), and neuristors to emulate the analog short and long term memory, convolutional signal processing, and correlative learning functions of synapses, and the nonlinear dynamic functions of neurons.less","4,300,000",2019,2022
0,(MURI-FY22) LEARNING DYNAMICS AND DETECTING CAUSAL PATHWAYS IN COUPLED ONLINE-OFFLINE SYSTEMS,United States Air Force,to P. BRANTINGHAM,"Social instability is increasingly connected to a dynamic interplay between online and offline systems. Such instability is causally complex, multiscale in nature, and is traced to spillover, in both directions, between online and offline domains. Indeed, the complexity of offline and online systems on their own is amplified by the potential that problems or grievances incubated in one domain will spontaneously spread to the other. Threats that arise through coupled online-offline dynamics may reach a critical point faster, jump spatial or community boundaries with little constraint, and thrive on complex beliefs that readily mix fact and fiction. The inherent complexity of coupled online-offline systems motivates our proposed MURI. We will develop new data-driven methods for learning the dynamics of coupled online-offline systems and model-driven approaches for determining when spillover between systems is causally significant. Rapidly detecting patterns and knowing when those patterns are not spurious is central to maintaining agility and readiness in the face of heterogeneous threats.less","4,171,875",2022,2025
0,Adaptive Immersive Training Research,United States Department of the Navy,to Eva L. Baker,"SUMMARY/ABSTRACT Critical to the Navy is its ability to maintain ships in mission-ready condition at all times. Recognizing and troubleshooting problems on board ship is a crucial skill for technicians, and is essential for a ship’s viability and the safety of its crew. Much of the knowledge and skills required of engineering technicians is to effectively utilize situational and diagnostic cues from the engineering plant to determine potential or actual problems early on, and address them in time before they can escalate to costly and/or dangerous levels. Training to be proficient in such skills requires more than just content understanding and system knowledge, but also necessitates being able to blend this knowledge in hands-on, realworld contexts. A virtualized training environment in which key systems of a ship can be replicated in authentic ways, and in which a student is enabled to interact both physically and cognitively with the system, affords great benefits for training and assessing for engineering related skills/ratings. In such an environment, the student would practice tasks and decisionmaking in authentic, simulated contexts, and be able to use his or her senses to detect abnormal conditions such as excessive heat, unusual sounds, or odors emanating from certain pieces of equipment – all of which could be indicators of problems that can be triaged appropriately and addressed. The National Center for Research on Evaluation, Standards, and Student Testing (CRESST) proposes to develop an engineering-skills virtual reality test bed. It will combine interface technologies to support advanced sensing modalities (including motion and gesture recognition), advanced feedback modalities (including tactile and olfactory feedback), advanced adaptive training technology, and automated performance assessment capabilities. This proposal outlines the research that we will conduct to examine the effects of multisensory stimuli in an instructional/training setting on learning and performance. This will include looking at adapting task complexity both within and between scenarios, and other supplemental training modules, including perceptual learning modules, and modules on selfmonitoring and creative thinking that focus on troubleshooting.less","3,592,910",2016,2018
0,Extreme Aerodynamics: Grasping the Unknown Skies,United States Department of the Navy,to Kunihiko Taira,"(Approved for Public Release)The goal of the proposed work is to establish a new field of extreme aerodynamics that describes the hi,ghly unsteady nature of turbulent flows around air vehicles in severe weather, urban canyons, and wakes of ships and complex terrain,s.Motivation: Operating air vehicles, especially those that are smaller in size, in highly adverse atmospheric conditions is a major, technological challenge with essentially no available theory. Currently, aircraft avoid operating in such extreme aerodynamic scen,arios, leaving a void in the operational capability. This is due to the fact that traditional aerodynamics are largely based on lin,ear analysis about a steady operating condition with nonlinear extensions for modest levels of perturbations. Understanding flight,in extreme aerodynamic environments calls for innovative perspectives to analyze, model, predict, and control extreme levels of unst,eadiness over lifting bodies. Recent advancements in computational hardware and data-science libraries present a unique opportunity, to develop next-generation aircraft achieving air dominance in extreme weather.Objectives: The ultimate objective here is to establ,ish a novel framework to detect the approach of unknown large-scale perturbations in the atmosphere, determine how such disturbances, affect the dynamics of the aircraft, and perform flow control or maneuvers to achieve stable flight. One of the major challenges i,s that turbulent disturbances in the atmosphere take various forms affecting the vehicle performance in strongly nonlinear manners., If these disturbance dynamics are naively considered, the investigation would require an astronomical number of parametric studies., For these reasons, the study of extreme aerodynamics requires a shift in our scientific perspective from traditional aerodynamics t,o an innovative approach to extracting the dominant extreme response of flying bodies from a massive collection of data. To achieve, the goals of this proposal, we will utilize ultramodern concepts in dynamical systems, network science, and data science. In the p,resent effort, we will (1) numerically simulate extreme aerodynamic model flows with large potential, vortical, and turbulent distur,bances for 2D and 3D wings as well as a tailless UAV model; (2) reveal the universal extreme aerodynamic features through manifold i,dentification using machine learning; (3) model extreme aerodynamics using cluster network analysis and identify key vortical featu,res responsible for transient force generation; (4) assess control effectors for extreme aerodynamic conditions and develop control,techniques based on generalized phased-based and model predictive control; (5) train graduate students and postdoctoral scholars in,an interdisciplinary manner to be leading experts in extreme aerodynamics; and (6) disseminate findings through publications, confer,ences presentations, and workshop organizations to form a research community in the field of extreme aerodynamics.Impact on DoD Capa,bilities: A focused research investment for this orchestrated work will establish the theoretical and computational framework for a,new field of extreme aerodynamics and support the designs and operations of next-generation air vehicles in adverse atmospheric cond,itions. The novel approaches developed from this effort can also be extended to highly unsteady marine environments.less","3,000,000",2022,2027
0,Eco-environmental signatures of danger to identify melioidosis-endemic hotzones,Defense Threat Reduction Agency,to Christopher French,"Our objective is to identify and characterize environmental factors and the relationships between Bp and other ecosystem species, and to explore how these affect the presence and virulence of Bp, and consequently, the incidence of disease in humans and mammals. The aim of Task 1 is to investigate relationships between environmental conditions, strain diversity, and virulence in mammals. In Task 2, we employ parallel HTS metagenomic and metatranscriptomic analysis to identify predictors of endemicity as ""signatures"" of co-endemic fauna, followed by investigations of their associations with virulent Bp genotypes. The objective of Task 3 is to define the nature of various interactions between Bp and fauna. In Task 4, we will test our predictive and diagnostic tools from Tasks 1-3 on soil from endemic regions of the Americas, the Caribbean, Africa and Southeast Asia, some of which have previously hosted American military personnel, or are potential areas of future armed conflict. We will compare ecological signatures from geographically separate regions, incorporate our findings into a global model of Bp endemicity, and apply our biocontrol strategies to eradicate Bp from endemic soilless","2,999,782",2017,2020
0,Dual-effect thermionic and transpiration ultra-high-flux cooling of leading edges,Defense Advanced Research Projects Agency,to Timothy Fisher,"A team led by UCLA will develop a unique and heretofore unrealized approach to cooling hypersonic leading edges that primarily exploits two synergistic phenomena: thermionic electron emission, and evaporative transpiration cooling by a molten oxide specifically selected for its low work function and hence highly effective thermionic emission. This synergistic approach could be potentially transformative in both the total cooling capacity and the possibility for actively controlling the cooling rate. However, the successful realization of these outcomes will require unraveling numerous unknowns, including thermophysical properties of the oxide across its phase space as well as its thermionic behavior at projected operating conditions. The team includes complementary, world-leading domain experts on these crucial topics, as well as partners that are well equipped to fabricate and field the technology toward maturation: aerospace heat transfer and mechanics of materials under extreme conditions; established manufacturer of high-temperature materials and devices for government and commercial applications; hypersonic reacting and ionized flow modeling; profiles and relevant platforms and thermal management architectures; and advanced, high-current thermionic materials and devices. The program with quantify and clarify critical issues early in the program with an aggressive test and modeling campaign that involves rapid development of basic fabrication processes, thermophysical property characterization, and thermionic emission testing of molten oxide.less","2,931,628",2020,2024
0,"THIS GRANT IS A CONTINUATION OF N00014-12-1-0911 Extended-Range Prediction with Low-Dimensional, Stochastic Dynamic Models: A Data-driven Approach",United States Department of the Navy,to Michael Ghil,"Funding is provided to address the problem of using reduced-order models for the description, understanding and prediction of atmospheric, oceanic and sea ice variability on time scales of 1-12 months and beyond.less","2,475,496",2015,2016
0,Anion Redox in Amorphous Transition Metal Sulfides,United States Department of the Navy,to Bruce Dunn,"Battery electrode materials are based traditionally on cationic redox processes with 3d transition metals being the most widely investigated. The anions that make up the rest of the material have generally been considered inactive and do not contribute to energystorage. Thus, utilizing redox processes of anions can lead to a potentially large increase in Li-ion battery capacity and energy density, helping to guide the development of next generation Li-ion battery materials. The overarching objective of the research isto use amorphous transition metal sulfides as the basis for obtaining electrode materials which exhibit both cationic and anionic redox. As our initial studies show, amorphous materials benefit from facile bond stretching and overall structural flexibility whichcan be traced to the greater free volume of an amorphous environment. The open architecture of the amorphous system enables the metal-ion coordination to change, which is likely to be a critical feature for the S-S bond breaking and formation processes which are involved in charge storage. To realize this goal, the research will address several fundamental questions regarding amorphous transition metal sulfides. This includes the role of covalency in achieving anion redox, the importance of short-range order in influencing redox reactions and Li-ion diffusion, and identifying compositions which exhibit the highest levels of anion redox. Another objective is to better understand the reasons that amorphous and crystalline transition metal sulfides with the same nominal composition exhibit different redox properties. The proposed research on amorphous transition metal sulfides is intended to be a coordinated program which combines synthesis, electrochemical characterization, synchrotron XAS and computational simulations. By having a critical mass of individual investigators with complementary strengths, we will be able to obtain fundamental understanding of amorphous transition metal sulfides and assess their ability to achieve significantly greater energy density through the combination of anion and cation redox processes. We expect the outcome of this project to not only provide a detailed understanding of anionic redox but also to identify compositions and charge storage mechanisms which lead to high performance battery materials. The potential impact ofthis research on the DoD is that it is directed at identifying new electrochemical materials aimed at improving lithium-ion and sodium-ion battery performance.Approved for Public Releaseless","2,400,000",2023,2027
0,"Modeling of Nonlinear Magnetics with A Multiscale, Unconditionally Stable Time-Domain Solver Unifying Electrodynamics, Elastodynamics and Spin Dynamics",Defense Advanced Research Projects Agency,to Yuanxun Wang,"Thin-film magnetic materials, such as yttrium iron garnet (YIG), are naturally nonlinear and dispersive in microwave regime, which can be utilized for RF signal-processing components such as frequency-selective limiters (FSL) or signal-to-noise enhancers (SNE). The state of the art in modeling RF magnetic components is significantly lagging components consisting only electric material with most commercial software being limited to modeling simple, linear material behaviors which are not representative of material response in actual hardware. Moreover, the intrinsic material properties are critically important such as the excitation of the internal spin waves through the exchange of the magnetic domains. These are important mechanisms contributing to power-dependent insertion loss and frequency-selective limitation observed in FSL and SNE. Modeling of such effects in a comprehensive way requires unifying of governing physics from material level in nanometer scales to component level in centimeter scales, where rigorous modeling of such physics spanning six orders of magnitude is impossible even with the fastest supercomputer in the world. In this project, UCLA and UMN researchers team up to attack this grand challenge through development of a multi-physics, multi-scale time-domain solver that can model the seven orders of magnitudes scale difference from nanometers to centimeters, including the physics from electromagnetic waves, acoustic waves to the nonlinear generation of dipole-exchange spin waves into one unified framework. The ultimate goal of the proposed effort is to provide a comprehensive and precise modeling solution for nonlinear magnetics. Furthermore, the program focuses on providing a design kit that is physically solid, computationally efficient, and conveniently implementable to commercial simulation software such as ADS. This later is achieved through innovative interpretations of the motions of magnetic spins and their mutual coupling, as well as comprehensive and accurate mathematical representations of the underlying physics. A compact model will be delivered as the outcome of this project that is capable of predicting the performances of magnetic components using equivalent circuits. This model for the first time enables designers to develop circuit architectures that will optimize FSL and SNE performance, and enables system designers to determine the impact of these devices would have on the overall system. Moreover, the model translates the complex magnetic behaviors into equivalent electrical behaviors, which facilitates the understanding of micro-magnetics and allows invention of novel magnetic devices.less","2,399,961",2017,2021
0,Advanced Highly Efficient Cells Based on Designer Catalysts,United States Department of the Navy,to Yu Huang,"Catalysis has become the key in solving challenges of developing new energy resources withimproved efficiency and sustainability wh""ile dramatically reducing environmental impact. Inparticular, dramatically improved fuel cells catalysts are essential to enable th""""e conversion ofautomobiles from fossil energy based technologies to fuel cells. In particular, polymer electrolytemembrane fuel ce""lls (PEMFC) using hydrogen as a fuel could provide alternative clean powersources for zero-emission transportation and stationery a""pplications. In addition, fuel cells cangenerate power in the range of mW to MW. This versatility makes them suitable for a broad r""""angeof applications, such as portable devices and vehicles, helpful in increasing human and systemefficiencies for naval operation"""".However, the slow kinetics of the oxygen reduction reaction (ORR) at the cathode combinedwith the high cost of Pt catalysts, has"" made the costs far too high for broad dissemination of fuelcells. While due to intensive efforts various catalysts have been devel""oped and demonstrated greatpotential for fuel cell application, the state of the art designer catalysts are typically evaluated wit""""hthe half-cell, typically rotating disk electrode (RDE) setup, setting. The full cell based evaluations,challenged primarily by sc""ale-up synthesis of these designer catalysts and correspondingly furtheroptimization and design of catalytic materials targeting pr""actical setting, are critically needed tomove the field forward but severely lacking. To effectively address these challenges and m""""ove thefuel cell technology critically forward, this project bring together an interdisciplinary teamencompassing four synergistic"" Thrust areas. Thrust 1: Design and synthesis of nanoscale catalystwith atomically precise composition and intricate structure for"" exceptional activity and chemicalrobustness, in both experimental and practical settings. (Huang). Thrust 2: Design, synthesis and""assembly of unique carbon support that can facilitate mass transport with fuel cell catalyst layerand explore potentially noble me""tal free catalysts. (Duan) Thrust 3: Atomic scale characterization,understanding and correlation between the catalyst composition,"" structure and the chemicalfunctionalities under fuel cell operation conditions. (Jia). Thrust 4: Use multiscale models tocapture and understand the fundamental nanoscale interactions at the level of quantum mechanics(limited to 100s of atoms) through the range of 10 to 100s of nm constituting the important scalesunderlying the fundamental performance determinant to the scale of optimizin""g the fuel cellperformance. This will enable the design of new materials and approaches, and enable theexperiments to focus on the"""" best predicted candidates. (Goddard)Together, we expect these efforts will contribute significantly to the development of full cel""""lsthat can provide performance far exceeding current technology, and provides much more accurateand practical information to guide"" the further development and optimization of novel catalyticmaterials for actual device applications. This project will also contribute to the education andtraining of the next generation of individuals ready to meet the challenges of the 21st centuryincluding maintaining a competitive advantage for US energy safety.less","2,100,000",2018,2021
