,title,funder,investigator,abstract,funding_amount_usd,start_year,end_year
0,(MURI 18) Gallium Oxide Materials Science and Engineering GAME,United States Air Force,to James Speck,"?-Ga2O3 is the largest bandgap (~4.5 eV) semiconductor that can be grown directly from themelt in single crystal form. The ease of n-type doping with tetravalent cations, and a widevariety of bulk single crystal and epitaxial film growth techniques have triggered worldwideinterest in ?-Ga2O3. The predicted breakdown electric field (6-8 MV/cm) is higher than that ofGaN or SiC (~3 MV/cm), which when combined with electron mobility (predicted 250-350cm2/Vs) yields amongst the best figures of merit for power electronic devices. As a result, ?-Ga2O3 possesses transformative potential for not only power electron devices but also highfrequency devices, and deep UV optoelectronics.less","7,500,000",2018,2021
0,"Neural Foundations of Expertise Based on Optimal Decision-making, Physical Control and Responses to Stress",United States Department of the Army,to Scott Grafton,"The objective of this proposal is to characterize expertise in terms of the changes within and between the neural systems that support decision-making and the closely related process of habit formation (effective action selection), the physical control of skilled action (reliable execution) and the adaptive control of stress responses (resilience). Tasking to acheive the stated objective of this proposal will include a suite of experimental tools applied to humans and non-human primate (NHP) subjects and computational approaches applied to the resulting multimodal datasets. Proposers hypothesize that integration across the decision-making, physical control of skilled action and adaptive control of stress neural systems can be observed as a function of training at the anatomic, neural, behavioral and computational levels of analysis. Proposers plan to combine commonly used neural and physiological sensing modalities (e.g., single unit and LFP electrophysiology, fMRI, heart rate, skin conductance, and pupillometry), and recently developed methods (fast scan cyclic voltammetry for dopamine neurotransmitter sensing and neurotropic viral methodologies) while subjects participate in a longitudinal approach-avoidance decision-making learning paradigm. The longitudinal behavioral study will be combined with neurochemical detection of the neurotransmitter dopamine, functional neuroimaging, electrophysiology, and cortical mapping of stress responses in decision-making neural networks in non-human primates and humans. This approach enables a systematic study of various neural contributors to the process of skill learning entailing theoretically well-grounded and hypothesis-driven experiments to assess the contribution of these various factors to learning. The proposed approach also includes a strong data analysis and modeling effort to help guide the design and interpretation of the experiments. The proposal also emphasizes the implementation of network control theory and less traditional methods from ""pure"" mathematics, such as algebraic topology, to identify neural networks controlling brain network dynamics and neurophysiological mechanisms responsible for skill learning.less","6,250,000",2016,2021
0,Abelian Bridge to Non-Abelian Anyons in Ultra-Cold Atoms and Graphene,United States Department of the Army,to Andrea Young,"This proposal aims to demonstrate and comprehensively explore nonabelian anyons via an interdependent investigation of solid-state materials and ultracold atoms. Success would constitute a landmark basic-science achievement and mark a critical step towards new quantum technologies, as nonabelian anyons form the basis of fault-tolerant quantum computing architectures. Nonabelian excitations arise in two distinct contexts. First, they can appear ÔintrinsicallyÕ as quasiparticles in strongly correlated topological phases of matter, notably fractional quantum Hall states and quantum spin liquids. Second, nonabelian statistics can appear ÔextrinsicallyÕ from defects engineered in comparatively simple 2D abelian topological phases. In either case, a successful approach must feature widely tunable microscopic interactions, enabling global control over the phase diagram and local control over quasiparticles and defects. Recent advances pioneered by our team in the control of ultra-cold atoms and van der Waals heterostructures provide a timely opportunity to engineer both abelian and nonabelian anyons in conceptually novel and experimentally accessible configurations. Our proposed efforts utilize the shared virtues of cold atoms and van der Waals heterostructuresÑwidely tunable interactions and physical geometriesÑwhile leveraging the special advantages of each platform, namely grapheneÕs unique electronic structure and the ability to tune microscopic cold-atom Hamiltonians with time-dependent potentials. We will develop three experimental avenues to nonabelian physics, focusing on the most promising cold-atom and solid-state candidates: realizing intrinsic nonabelian ground states, engineering synthetic nonabelian defects via Cooper pairing, and creating related defects by purely geometric means. Our general approach is to develop ground states proximal to nonabelian states, and then induce nonabelian behavior using tunable coupling between systems, introduction of defects, or periodic modulation. An important feature of the proposed work is the mutually complementary nature of our solidstate and cold-atom approaches. As an example, cold atoms straightforwardly realize disorder-free systems but often suffer from relatively high temperatures, while solid-state systems can be easily cooled but preclude total control over sample disorder. Even as we advance both fields through innovations in atomic cooling and fabrication of ultra-clean heterostructures, our joint effort will provide ample opportunity for reciprocal quantum emulation: atomic systems can simulate anyonic signatures in disordered solid-state systems using tunable disorder, while finite-temperature effects can be controllably simulated in solid-state systems. In many cases, our proposed platforms admit new probes that have never been applied to anyonic systems, including spatially resolved transport, thermodynamics, and spectroscopic measurementsÑfacilitating an unprecedented characterization of nonabelian anyons not possible in either setting by itself. PUBLICLY RELEASABLEless","6,250,000",2017,2023
0,"From Data-Driven Operator Theoretic Schemes to Prediction, Inference, and Control of Systems",United States Department of the Army,to Igor Mezic,"Large scale dynamical systems (e.g. many nonlinear coupled differential equations) can often be summarized in terms of only a few state variables (a few equations), a trait that reduces complexity and facilitates exploration of behavioral aspects of otherwise intractable models. High model dimensionality and complexity makes symbolic, penÐandÐpaper model reduction tedious and impractical, a difficulty addressed by recently developed frameworks that computerize reduction. Symbolic work has the benefit, however, of identifying both reduced state variables andÉless","6,250,000",2017,2022
0,QUANTA: Quantitative Network-based Models of Adaptive Team Behavior,United States Department of the Army,to Ambuj Singh,"This Multi-University Research Initiative will advance the development of the Network Science of Teams by creating Quantitative Network-based Models of Adaptive Team Behavior. The overarching contribution of this research is to build quantifiable infonnative models of team behavior as dynamical systems interacting over multiple networks, develop rigorous models that relate interaction patterns and network evolution to task performance, break new ground in the learning of optimal design of teams, scaling teams to complex tasks, and advancing social science theories of team performance. This research will produce methods to optimize team performance under different contexts and resource constraints. The research team will identify bottom-up approaches for improving team performance. They will identify meso-level approaches to get teams to adapt and increase their robustness. And finally, they will develop 'top-down' strategies for effectively assigning individuals to teams, and teams to tasks. The proposed effort brings together seven academics from five universities and pulls together an excellent balance of multidisciplinary scholars from sociology, cognitive and social psychology, health and behavioral sciences, computer science, statistics, controls and dynamical systems, and network science. Thrust 1 (teams as networks of interacting entities) will model teams as semantically-labeled multilevel networks with attributes on nodes, edges, and subgroups and these conceptual models will be experimentally validated; develop statistical models of team performance as information flows; and examine the relationship between influence networks, collective intelligence, task perfonnance, and robustness and optimization. Thrust 2 (analysis and models of dynamic team behavior) will examine the perfonnance of teams on a sequence of tasks. They will examine changes in social influence networks resulting from repeated tasks and examine team adaptability using methods from computational learning and data-driven optimization. Thrust 3 (network science of teams-of-teams) will examine the scalability of teams and tasks. This thrust will consider how to decompose a complex task into subtasks, the effect of inter-task dependencies, and how to assign teams to such tasks.less","6,249,506",2015,2020
0,"Multi-Principal Element Alloys: Exploration, Design and Understanding (MPE.EDU)",United States Department of the Navy,to Tresa Pollock,"Metallic materials are foundational components in a vast array of navalsystems, including ships, submarines, sea-based aircraft and hypersonic vehicles. While some metallic alloy systems are perceived as mature, new computational methodologies, emerging informatics tools and new high throughput experimental innovations are greatly expanding the scope for discovery and implementation of new alloys for future generations of advanced engineering components. Most recently, multi-principal element (MPE) alloys have emerged as a promising new class of advanced metallic materials. With five or more elements present in nondilute quantities, exceptional properties (strength, toughness, magnetization, fatigue endurance) have been observed, though mostly in small quantities of material that are far from optimized compositionally or structurally. A lack of fundamental understanding of the mechanistic origins of exceptional MPE properties, thought originally to be due to high configurational entropy, remains as a major barrier. Critical gaps in the computational and experimental infrastructure for exploration of the extraordinary large compositional design space also strongly inhibit progress.The overarching goal of this proposed effort is to revolutionize our ability todesign, explore and fundamentally understand the processing, properties andenvironmental behavior of refractory body centered cubic (bcc) MPE alloys.Compared to face centered cubic (fcc) MPE systems based on Ni, Fe and Co, farfewer investigations exist on refractory MPE alloys comprised of mixtures of higher temperature metallics, such as Ta, W, Nb, Mo, Hf. While refractory MPEs promise high strength, in combination with high melting temperature, the tendency for brittle fracture at low temperature, the difficult processing paths, and the breadth of the unexplored compositional space, make discovery of new compositions via a purely experimental approach completely prohibitive. To succeed in this endeavor, we have brought together an interdisciplinary, multi-institutional team, called MPE.EDU. The proposed MPE.EDU team has a long track record of successful collaboration and deep expertise in metallic materials and integrated computational materials engineering from UCSB, UCSD and UVa, supported by collaborations with GE, ATI Specialty Alloys and Citrine Informatics. Together, MPE.EDU will launch new computational, high throughput experimental and informatics approaches, and integrate these tools to 1) explore the vast refractory MPE compositional space and 2) build the needed fundamental understanding of the properties of this new class of materials.The MPE.EDU team specifically aims to: (1) develop and deploy acomputational infrastructure complemented with combinatorial approaches forexploration of the MPE refractory alloy space; (2) simultaneously build open-source databases for refractory MPEs; (3) employ unique processing approaches for MPE synthesis; (4) integrate emerging computational and experimental approaches to understand the unique aspects of dislocation motion, diffusion and mechanical behavior in MPEs and; (5) address fundamental issues underpinning the strong influence of interstitial elements on mechanical behavior and their interplay with oxidation. With extensive experience in alloy design and integrated computational material science and engineering, MPE.EDU will remove empiricism from the design process and lay the foundation for rapid MPE alloy discovery and development.less","5,400,000",2018,2022
0,N-polar devices for ultra-high power and linearity at millimeter-wave,United States Department of the Navy,to Umesh Mishra,"N-polar Nitrogen-polar Gallium Nitride deep recess high electron mobility transistors have demonstrated record high power density with high efficiency in the W-band frequency range – over double the power density reported from other technologies. This achievement is thanks to simultaneous achievement of three factors: high breakdown voltage with dispersion well-controlled, high large signal current swing, and high gain. Nitrogen-polar devices have also demonstrated impressive linearity at 10 GHz as determined from the OIP3 to DC power ratio. These achievements will be leveraged as a starting point to significantly improve the power density, efficiency, and linearity at 30 GHz. The improvements will stem from a combination of increased device voltage swing and current swing at 30 GHz large signal conditions, as well as a method to increase the intrinsic linearity of the device. Those improvements will be based on improved epitaxy and new device processes and layout. Power cells with high absolute power will also be demonstrated. The metrics will be characterized by single-tone and two-tone load pull at the wafer level. These devices today seem to have good OIP3 to DC power ratio due to the device configuration. Further improvements to this linearity metric with simultaneous low noise figure will be achieved by a combination of reduction of the intrinsic nonlinearity, plus a novel incorporation of nonlinearity cancellation methods. These methods will be guided by experimental data and nonlinear device models, and realized by improvements to epitaxy in combination with appropriate device layout and processes. The device linearity will be characterized by two-tone load pull at the wafer level. Noise will be characterized by swept frequency noise parameters measured at the wafer level. The improvements to the device which are anticipated under this program will be beneficial for a wide range of transmitter and receiver applications.devices for ultra-high power and linearity at millimeter-waveless","3,617,720",2017,2023
0,Engineered 3D Dirac Materials,United States Department of the Navy,to Susanne Stemmer,"The goals of this project are to develop (i) highly-perfect, three-dimensional (3D) Dirac materialswith extremely high carrier mobilities using molecular beam epitaxy and (ii) heterostructureengineering approaches that achieve unprecedented control over their unique electronic states.The ultimate objective is a new class of electronic materials and devices that are based oncontrolling unique nontrivial topological electronic states. Using approaches such as strain,electrostatic confinement, and symmetry engineering, as well as fine-tuning of the Fermi levelusing electric field effect and modulation doping, we will achieve unprecedented control over theunique electronic states of 3D Dirac materials. These give rise to unique phenomena such asspin-Hall effects, chiral excitations, chiral magnetic currents, unusually largemagnetoresistances, topological protection against scattering, and true Fermi arcs, which cannotbe found in any other materials class. Using heterostructure engineering, which is completelynew to the field of 3D Dirac materials, we will tune between different 3D topological states, suchas Weyl semimetal, topological insulator, and quadratic band touching. The control achievedusing these approaches will enable entirely new opportunities and device paradigms forspintronics, quantum computing, sensors, chiral, and high-speed electronics.less","3,000,000",2016,2020
0,A 3D Platform for Discovery of New Structural Materials,United States Department of the Navy,to Tresa Pollock,"Rapid advances in high performance computing, the ability to generate and harness large-scale 3D materials data and the emergence of advanced directed energy processing approaches promise new pathways for the design and synthesis of a broad array of previously inaccessible advanced materials. These new capabilities will enable highly architectured structural components, which in the future, may be printed layer-by-layer or voxel by voxel, on demand. This proposed research program aims to dramatically expand our ability to discover and synthesize high temperature intermetallic-containing structural materials that are amenable to additive manufacturing approaches. To explore the materials design space, which is extraordinarily large and relatively sparsely explored, theory-guided density functional theory tools will be combined with a unique suite of 3D processing and characterization platforms. A novel TriBeam tomography platform will be deployed for acquisition of 3D high resolution, multimodal (chemical, crystallographic and structural) data on materials at the melt pool scale, to obtain new insights on solidification, defect formation and the thermodynamic stability of intermetallic phases and to guide alloy design. An open-source laser-based experimental platform capable of operating in either layer-by-layer additive mode or combinatorial chemical mode will be developed for exploration for new materials systems. The materials focus of the program will be on (a) discovery and synthesis of multicomponent Co-base alloys strengthened by L12 intermetallics and (b) theory-guided exploration of the ternary and higher order Nb systems likely to contain cubic B2, Heusler or Half-Heusler intermetallics. Student internships and workshops with DoD collaborators will result in uniquely trained personnel for future DoD research in the areas of 3D materials science and additive manufacturing. The infrastructure will also more broadly pave the way for discovery of new compositionally and structurally complex crystalline materials with unique properties and functionalitiesless","3,000,000",2017,2018
0,Engineered Heusler Compound Heterostructures and Superlattices,United States Department of the Navy,to Christopher Palmstrom,"Heusler compounds are a large group of intermetallic compounds with ~1500 memberswith similar crystal structures having a vast array of tunable properties. This offers the possibilityof engineering novel materials and heterostructures possessing properties far beyond what bandgap engineering has done for III-V semiconductor technology. These properties depend on thenumber of valence electrons per formula unit allowing tuning of properties through compositionand alloying. Tuning of Heusler compound properties include semiconducting band gap,metallicity, magnetism, half-metallicity, superconductivity, shape memory, and, potentially,piezoelectricity. Combining Heusler compounds with different properties into heterostructuresand superlattices allows for fundamental studies as well as engineered applications ofmagnetoresistance and superconducting proximity effects coupled with shape memory andpiezoelectricity. Despite the wealth of tunable properties and potential for tailored dissimilarproperties heterostructures, studies of heterostructures and superlattices have not beenperformed. In this proposed study, molecular beam epitaxy and chemical beam epitaxy will beused to grow and tailor Heusler heterostructures and superlatttices combining magnetic, halfmetallic, superconducting, shape memory, topological and semiconducting Heusler compoundsto develop a fundamental scientific understanding of coupling and engineering of theirproperties. Control of composition, structure and defects is essential to gain knowledge ofintrinsic properties and their tailoring. In-situ and ex-situ atomic level structural, electronic andmagnetic characterization techniques including superconducting tunneling spectroscopy will beused to study and provide feedback control of surface, interface and bulk properties. The use ofchemical beam epitaxy is to develop a growth process that will enable a self-limiting growthcondition to improve stoichiometry control. By growing on III-V semiconductor and Perovskitecomplex oxides, the Heusler heterostructures will be coupled to materials and heterostructureswith additional multifunctional properties. The ultimate goal is to develop the new field ofmultifunctional Heusler compound heterostructures and superlattices.less","2,999,738",2015,2016
