,title,funder,investigator,abstract,funding_amount_usd,start_year,end_year
0,"Operations, Maintenance, Repair, Support and Upgrade of Scripps' Oceanographic Research Vessels and Associated Activities, CY2023 - CY2028",United States Department of the Navy,to Bruce Appelgate,"The Scripps Institution of Oceanography (Scripps) requests funds to support Office of Naval Research (ONR) operations and activities related to the research vessels Roger Revelle (AGOR 24), Sally Ride (AGOR 28), and Robert Gordon Sproul, and associated oceanographic technical services, for the period 2023-2028. Scripps-operated research vessels and technical services provide ONR with facilities for the discovery, development and demonstration of new technology and capabilities, enabling ONR to meet its mission to plan, foster, and encourage scientific research in recognition of its paramount importance as related to the maintenance of future naval power, and the preservation of national security.less","110,000,000",2023,2028
0,"2016-2020 Operations, Maintenance, Repair and Upgrade of Scripps' Oceanographic Research Assets",United States Department of the Navy,to Bruce Appelgate,"The Scripps Institution of Oceanography at the University of California, San Diego proposes tooperate oceanographic research vessels in support of Office of Naval Research (ONR) scientificresearch for the period 2016-2020. Scripps will operate four oceanographic research assets(Roger Revelle, Sally Ride, Robert Gordon Sproul and FLIP) using best professional practices tocarry out our assigned scientific research cruises. To do so, Scripps will provide mariners andmarine technicians to operate these vessels at sea, as well as shoreside administrative, logisticaland technical support from our home port at the Scripps Nimitz Marine Facility.less","100,000,000",2016,2016
0,"Naval Innovation, Science, and Engineering (NISE) - ONR center at University of California San Diego",United States Department of the Navy,to Corinne Peek-Asa,"UC San Diego#s new center, Naval Innovation, Science, and Engineering (NISE), introduces an integration of the proven processes in research-based training for advanced technologists and researchers with novel instructional and experiential programs in innovation.The goal of NISE is to augment the STEM workforce in national security and accelerate the transition of research to the warfighter.The workforce developed by NISE will be diverse and technically well prepared in the three focus areas of the center: (1) autonomous naval platforms, (2) integrative environmental-platform modeling, and (3) materials and energy resilience under climate predictions. The graduates of NISE will have experiences with the Navy, including its warfare centers, and be motivated towards government service. NISE will also nurture new ONR research performers among faculty, students, and the center#s partners in the private sector and the government.Approved for Public Releaseless","12,855,930",2023,2028
0,PLATFORM CENTRIC ASW PROCESSING WITH THROUGH-THE-SENSOR DATA ASSIMILATION AND FUSION,United States Department of the Navy,to William Kuperman,"The proposed work involves harnessing adaptive signal processing with geometric feature extraction and sophisticated ~big data~ mac""hine learning techniques to track, interpret, and learn potentially intertwined signatures of diverse oceanic events in shallow water acoustics. Oceanic phenomenaof interest include but are not limited to multipath acoustic scattering, Doppler effect from fluid motion and moving reflectors in the ocean, high-energy transient events such as surface wave focusing, constructive multipath interference, structured ambient noise, etc. To achieve this end, The simultaneous combination of acoustic and oceanographic data observations, as opposed tothe present sequential approach of predicting the ocean first then using that ocean for acoustic predictions, will be used to demonstrate significant performance enhancement of Anti- Submarine Warfare (ASW) processing. Experimental observations will be made of midfrequency, signal and noise acoustic data coincident with time-evolving, spatially-distributed measurements of the local physical oceanography and synoptic ocean surface wave field. Thetight integration of acoustics and physical oceanography will be implemented through an expanded data assimilation approach yielding a dynamic regional model enforcing consistency between ob""servations of the ocean volume, sea surface, and acoustic propagation.less","8,375,389",2019,2022
0,Instrumentation and Analysis Support for the Applied Navy,United States Department of the Navy,to MATTHEW ALFORD,"The effort proposed here is to develop and support environmental characterization and improved instrumentation for Navy related projects. Broadly, our work aims to provide measurements by participating in research cruises and developing better measurement techniques for the characterization of environmental parameters relevant to Navy operations (specifically turbulence, near-inertial shear layers, mixing, and upper-ocean stratification) and their effective assimilation into numerical models. Our specific focus here is observations, analysis and instrumentation to improve characterization of near-inertial shear layers and turbulence in the ocean.less","7,988,421",2021,2025
0,(MURI17) Multiscale analysis of bioinspired low energy information processing: from organelles to organisms,United States Air Force,to Padmini Rangamani,"This proposal seeks to address a fundamental question – What is the memorycapacity of a brain and how does the brain process information with high energy efficiency?The storage capacity in a computer memory is measured in bits, each of which can have a valueof 0 or 1. In the brain, information is stored in the form of synaptic strength, a measure of howstrongly activity in one neuron influences another neuron to which it is connected. When twoneurons on either side of a synapse are active simultaneously, that synapse becomes stronger, aform of memory.Approach to solve the problem We propose here a multidisciplinary, multiscale approach thatwill establish the relationships between energy homeostasis and memory storage from the organellelevel to the organisms. We will conduct experiments in cell cultures of increasing complexity andin the fruit fly Drosophila melanogaster and develop the theoretical and computational frameworkto identify the mechanisms underlying energy and information in these systems. Insights gainedfrom the proposed work will have an impact on our understanding of how biological systemscouple energy homeostasis and information processing.Impact of results on the field The results from this work will have impact on our understandingof (a) the molecular biology of energy homeostasis in neurons, (b) sources and sinks of energyconsumption in neurons, and (c) how memory storage is affected by energy availability in singledendritic spines and neural circuits.less","7,500,000",2017,2022
0,"Unraveling the Biology, Chemistry and Nanoscience of Natural and Synthetic Melanins",United States Air Force,to Nathan Gianneschi,"This program aims to develop rigorous understanding of the fundamental properties of the family of natural pigments known as melanins, and to harness this versatile, prolific but enigmatic organic polymer for the development of novel, advanced, multifunctional materials. This includes biosynthesis pathways, chemistry and morphology, and mimicry through engineering and materials science, using atomic to supra-molecular modeling as guidance. The hope is that the research will lead to the establishment of new methods of assembly to create functional arrays and structures that can be integrated into materials, providing them with unprecedented new properties, like optical, infrared, magnetic, biochemical to name a few.less","7,500,000",2018,2023
0,(MURI-20)UNRAVELING THE MECHANISMS OF ICE NUCLEATION AND ANTI-ICING THROUGH AN INTEGRATED MULTISCALE APPROACH,United States Air Force,to Francesco Paesani,"Many organisms that thrive at cold temperatures have evolved biomolecules to control ice formation. The commonality of these molecules is their ability to bind ice, although their functions can be quite distinct: they can be antifreeze or ice nucleating. Proteins excel at both functions. However, they are expensive to produce in large quantities for applications that allow them to prevent and control ice formation on large surfaces. Understanding how proteins bind to ice and determine what characteristics make them good antifreeze or ice nucleating agents is key to designing new molecules that excel at preventing ice growth and recrystallization, controlling ice nucleation, and facilitating de-icing, which is the focus of this MURI project. This MURI integrates multi-scale multi-resolution computer simulations and theory with state-of-the-art experimental techniques probing properties at different length and time scales, biochemical synthesis, and machine learning to elucidate the fundamental mechanisms and interactions that control ice recognition, formation and adhesion. The main aims are: 1) To elucidate the diversity of chemical motifs that bind strongly to ice, and identify signatures in the structure and dynamics of hydration of ice-binding molecules that can predict their strength of ice-binding; 2) To develop a multi-scale multi-resolution modeling approach that identifies and accounts for all steps in the reaction network responsible for antifreeze and ice recrystallization inhibition activities, and design and synthesize new ice binding materials with improved antifreeze activity; 3) To elucidate how biological and organic molecules and crystals nucleate ice, use that knowledge to identify and design materials that nucleate ice without supercooling, and develop a biomimetic approach to ice nucleation; and 4) To develop new experimental and simulation techniques to probe buried ice interfaces, and to characterize the properties of the premelted layer.less","7,500,000",2020,2025
0,Marine Physics Naval Research Scholarship Program,United States Department of the Navy,to Eric Terrill,"This proposal serves to increase the number of graduate students receiving training in marine physics and related engineering topics at the Marine Physical Laboratory (MPL), Scripps Institution of Oceanography – UC San Diego. MPL was established 76 years ago at the close of WWII in recognition for the need of a University-based laboratory to conduct navy relevant basic research. A majority of the MPL academic community are involved in ONR-funded, seagoing research to study air-sea interaction, underwater acoustics and marine bioacoustics, physical oceanography, marine optics, radar oceanography, and marine robotics. A hallmark of MPL is the engineering and data analytics associated with conducting and interpreting novel measurements of the ocean to understand physical processes. While students are traditionally involved in research through the budgeting of graduate student stipends within research grants, there is excess opportunity to involve more students in the vibrant research programs at MPL. In addition, research grants are typically shorter (3 years) than the required time to obtain a Ph.D. (5-6 years), often resulting in instabilities late in a graduate student’s tenure. This proposal seeks to stabilize and expand the educational and training opportunities at MPL, with the intention to increase the next-generation, sea-going workforce to support problems of national interest. As a pilot program in support of Task Force Ocean, MPL will create the TFO 10+2 program: support of 10 graduate students and 2 post docs to augment existing ONR graduate student and post doc support.less","6,911,167",2023,2028
0,Human Autonomy Teaming in Uncertain and Dynamic Environments,United States Department of the Navy,to Laurel Riek,"The research goal of this project is to develop and demonstrate theoretical foundations, models, and principles to facilitate effect,ive HAT design. We propose dynamic, temporally-situated conceptual and computational models of HAT, and adopt a multi-pronged approa,ch to teaming, incorporating cognitive, behavioral, and social factors. Our approach is trans-disciplinary, drawing on concepts from, robotics, AI, cognitive science, organizational psychology, and human factors. We will explore how teams reason, coordinate, and tr,ust, particularly with regard to how teams change over time.-This project will address key gaps in HAT, including:-1) Modeling, oper,ationalizing, and validating team mental models, in contrast to prior work which focuses on-individuals and human-robot dyads withou,t accounting for collective context and dynamics of how team performance and processes emerge.-2) Understanding temporal dynamics of, teaming, including during trust calibration and maintenance, joint action, and shared decision making, particularly during moment-t,o-moment teaming tasks. Much work to date focuses on the antecedents and consequences of teaming, whereas we will study teaming temp,orally, both in real time and over time.-3) Exploring how two key mediators, coordination and team cognition, affect team performanc,e. Both are-understudied in the HAT literature, yet very important to team outcomes; our work aims to address this gap.-4) Engaging, in empirical, longitudinal, field-based research which is necessary to help propel the field forward and provide ecological validit,y to the HAT field.-This research will substantially advance the state-of-the-art and state-of-the-science in HAT. By creating new-m,ethods that dynamically and temporally model team evolution and scientifically establishing how autonomy affects human teammates, th,is work will yield new insights for HAT in uncertain environments. Ultimately, this project will: (1) Create innovative, cognitively,-informed conceptual frameworks and computational models of teaming, (2) Establish core elements of a new interdisciplinary science, of human agent teams, (3) Accelerate the advancement of HAT in mission critical environments, (4) Pioneerless","6,789,861",2022,2025
